pressure_gpa,volume_ratio,volume_a3_conventional_cell,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty
0.0000,1.000000,707.943549,1.0,0.0015
11.8421,0.942443,667.196133,1.0,0.0015
16.3534,0.931802,659.662997,1.0,0.0015
18.8910,0.928416,657.266090,1.0,0.0015
19.4549,0.915357,648.020878,1.0,0.0015
27.0677,0.893108,632.269776,1.0,0.0015
45.3947,0.839903,594.604098,1.0,0.0015
76.1278,0.786699,556.938419,1.0,0.0015
89.3797,0.769770,544.953885,1.0,0.0015
101.7857,0.749940,530.914860,1.0,0.0015
118.4211,0.725756,513.794097,1.0,0.0015
122.3684,0.722854,511.739605,1.0,0.0015
131.9549,0.702539,497.358164,1.0,0.0015
146.8985,0.693349,490.852274,1.0,0.0015
178.7594,0.659976,467.225621,1.0,0.0015
191.4474,0.648851,459.350070,1.0,0.0015
202.4436,0.638694,452.159350,1.0,0.0015
214.8496,0.635308,449.762443,1.0,0.0015
222.4624,0.628537,444.968630,1.0,0.0015
