source_order,x_fe,formula,pressure_gpa,pressure_scale_sd_gpa,a_a,b_a,c_a,volume_a3,v_over_v0,a_over_a0,b_over_b0,c_over_c0,fit_included
1,0.0,MgSiO3,3.86,0.2,4.753,4.911,6.875,160.46,0.9876,0.9947,0.9962,0.9966,1
2,0.0,MgSiO3,6.29,0.2,4.736,4.895,6.852,158.84,0.9776,0.9911,0.9931,0.9932,1
3,0.0,MgSiO3,13.3,0.2,4.707,4.869,6.793,155.69,0.9582,0.9851,0.9877,0.9847,1
4,0.1,Mg0.9Fe0.1SiO3,2.50,0.2,4.768,4.916,6.881,161.30,0.9908,0.9972,0.9971,0.9965,1
5,0.1,Mg0.9Fe0.1SiO3,9.69,0.2,4.726,4.883,6.819,157.37,0.9667,0.9885,0.9903,0.9875,1
6,0.1,Mg0.9Fe0.1SiO3,13.5,0.2,4.707,4.867,6.796,155.70,0.9564,0.9844,0.9871,0.9842,1
7,0.1,Mg0.9Fe0.1SiO3,18.6,0.2,4.683,4.848,6.761,153.51,0.9430,0.9795,0.9832,0.9792,1
8,0.1,Mg0.9Fe0.1SiO3,27.2,0.2,4.648,4.815,6.690,149.73,0.9197,0.9721,0.9765,0.9689,1
9,0.2,Mg0.8Fe0.2SiO3,5.13,0.2,4.770,4.905,6.857,160.41,0.9810,0.9944,0.9940,0.9925,1
10,0.2,Mg0.8Fe0.2SiO3,13.3,0.2,4.713,4.868,6.795,155.87,0.9532,0.9826,0.9864,0.9835,1
11,0.2,Mg0.8Fe0.2SiO3,20.3,0.2,4.689,4.846,6.750,153.37,0.9379,0.9776,0.9820,0.9769,1
12,0.2,Mg0.8Fe0.2SiO3,29.6,0.2,4.642,4.807,6.688,149.24,0.9126,0.9679,0.9740,0.9680,1
