source_order,source_table,run_number,x_fe,formula,temperature_k,pressure_gpa,gold_lattice_a,gold_lattice_uncertainty_a,volume_a3,volume_uncertainty_a3,a_a,a_uncertainty_a,b_a,b_uncertainty_a,c_a,c_uncertainty_a,fit_included,exclusion_reason
1,2,P10A1,0.1,Mg0.9Fe0.1SiO3,300,2.50,4.0590,0.0012,161.30,0.18,4.7679,0.0021,4.9162,0.0014,6.8809,0.0019,1,
2,2,P10A3,0.1,Mg0.9Fe0.1SiO3,300,9.50,4.0115,0.0018,157.37,0.21,4.7262,0.0023,4.8828,0.0015,6.8186,0.0018,1,
3,2,P10A4,0.1,Mg0.9Fe0.1SiO3,300,13.20,3.9895,0.0013,155.70,0.24,4.7069,0.0025,4.8671,0.0013,6.7959,0.0023,1,
4,2,P10A5,0.1,Mg0.9Fe0.1SiO3,300,17.80,3.9651,0.0008,153.29,0.13,4.6798,0.0021,4.8487,0.0033,6.7555,0.0018,1,
5,2,TA0,0.1,Mg0.9Fe0.1SiO3,300,26.00,3.9264,0.0015,149.73,0.28,4.6483,0.0031,4.8148,0.0026,6.6901,0.0033,1,
6,2,D1,0.1,Mg0.9Fe0.1SiO3,300,6.80,4.0288,0.0007,158.86,0.09,4.7450,0.0013,4.8967,0.0006,6.8372,0.0010,1,
7,2,D3,0.1,Mg0.9Fe0.1SiO3,300,1.40,4.0674,0.0010,162.05,0.12,4.7712,0.0015,4.9252,0.0011,6.8960,0.0021,1,
8,2,D12,0.1,Mg0.9Fe0.1SiO3,300,10.70,4.0042,0.0006,156.72,0.10,4.7203,0.0016,4.8775,0.0008,6.8073,0.0011,1,
9,2,D20,0.1,Mg0.9Fe0.1SiO3,300,25.40,3.9290,0.0007,149.64,0.27,4.6398,0.0030,4.8188,0.0028,6.6927,0.0025,1,
10,3,P0A1,0.0,MgSiO3,300,3.80,4.0493,0.0009,160.46,0.21,4.7528,0.0023,4.9107,0.0013,6.8751,0.0019,0,source explicitly fitted only the x=0.1 data
11,3,P0A2,0.0,MgSiO3,300,6.30,4.0318,0.0007,158.84,0.15,4.7356,0.0016,4.8954,0.0011,6.8517,0.0012,0,source explicitly fitted only the x=0.1 data
12,3,P0A3,0.0,MgSiO3,300,13.40,3.9887,0.0012,155.69,0.26,4.7071,0.0024,4.8691,0.0018,6.7930,0.0029,0,source explicitly fitted only the x=0.1 data
13,3,P20A1,0.2,Mg0.8Fe0.2SiO3,300,4.80,4.0423,0.0008,160.41,0.23,4.7695,0.0020,4.9049,0.0022,6.8571,0.0026,0,source explicitly fitted only the x=0.1 data
14,3,P20A3,0.2,Mg0.8Fe0.2SiO3,300,13.40,3.9887,0.0009,155.87,0.17,4.7127,0.0019,4.8676,0.0014,6.7949,0.0016,0,source explicitly fitted only the x=0.1 data
15,3,P20A4,0.2,Mg0.8Fe0.2SiO3,300,19.60,3.9560,0.0011,153.37,0.19,4.6889,0.0022,4.8460,0.0017,6.7499,0.0020,0,source explicitly fitted only the x=0.1 data
16,3,P20A5,0.2,Mg0.8Fe0.2SiO3,300,28.40,3.9160,0.0014,149.24,0.22,4.6424,0.0023,4.8065,0.0020,6.6882,0.0021,0,source explicitly fitted only the x=0.1 data
