source_order,sample_name,nacl_lattice_a_angstrom,nacl_lattice_error_angstrom,pressure_gpa,sample_lattice_a_angstrom,sample_lattice_error_angstrom,compression_path,nacl_phase,volume_a3_conventional_cell,volume_error_a3,sample_volume_interpretation
1,mw58_002,5.2333,0.0012,9.37,4.2214,,compression,B1,75.2262680963,,B1_cell
2,mw58_008,5.1861,0.0014,11.19,4.2075,,compression,B1,74.4856091719,,B1_cell
3,mw58_003,5.1461,0.0017,12.89,4.1988,,compression,B1,74.0245141423,,B1_cell
4,mw58_005,5.0678,0.0014,16.70,4.1719,,compression,B1,72.610874898,,B1_cell
5,mw58_037,5.0551,0.0028,17.38,4.1629,,compression,B1,72.1419597012,,B1_cell
6,mw58_006,5.0072,0.0023,19.98,4.1530,,compression,B1,71.628489577,,B1_cell
7,mw58_033,2.9440,0.0014,42.75,4.0302,,compression,B2,65.4605720236,,B1_cell
8,mw58_035,2.9374,0.0008,44.00,4.0311,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
9,mw58_036,2.9312,0.0016,45.42,4.0218,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
10,mw58_039,2.8780,0.0011,56.76,3.9662,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
11,mw58_038,2.8453,0.0009,65.10,3.9402,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
12,mw58_052,2.8440,0.0008,65.46,3.9313,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
13,mw58_065,2.8220,0.0001,71.70,3.9062,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
14,mw58_078,2.8219,0.0005,71.73,3.9050,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
15,mw58_066,2.8209,0.0007,72.03,3.9026,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
16,mw58_076,2.8152,0.0004,73.74,3.9006,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
17,mw58_100,2.7858,0.0003,83.19,3.8460,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
18,mw58_092,2.7849,0.0004,83.50,3.8576,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
19,mw58_093,2.7818,0.0003,84.56,3.8499,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
20,mw58_152,2.7684,0.0009,89.30,3.8246,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
21,mw58_210,2.7667,0.0004,89.92,3.8273,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
22,mw58_254,2.7547,0.0002,94.40,3.8091,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
23,mw58_286,2.7383,0.0015,100.87,3.7970,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
24,mw58_341,2.7259,0.0023,106.04,3.7769,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
25,mw58_391,2.7180,0.0012,109.47,3.7751,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
26,mw58_373,2.7149,0.0014,110.84,3.7677,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
27,mw58_372,2.7133,0.0022,111.55,3.7621,,compression,B2,,,rhombohedral_scalar_a_not_full_cell
