pressure_gpa,pressure_sigma_gpa,volume_a3_conventional_cell,volume_sigma_a3,density_g_cm3,density_sigma_g_cm3
0.0,0.0,77.29,0.01,4.862,0.010
7.5,0.2,73.89,0.45,5.085,0.033
8.5,0.1,73.55,0.02,5.109,0.010
10.0,0.2,72.92,0.23,5.153,0.019
11.2,0.6,72.54,0.11,5.180,0.013
12.1,0.2,72.51,0.02,5.182,0.010
13.2,0.4,72.11,0.36,5.211,0.028
14.9,0.5,71.66,0.44,5.244,0.034
16.2,0.3,70.95,0.56,5.296,0.043
18.0,0.2,70.56,0.35,5.325,0.028
19.7,0.1,69.88,0.58,5.377,0.046
21.5,0.3,69.59,0.65,5.399,0.052
23.3,0.5,69.05,0.37,5.442,0.031
24.7,0.3,68.63,0.12,5.475,0.014
26.6,0.4,68.26,0.07,5.505,0.012
28.9,0.5,67.40,0.12,5.575,0.015
30.8,0.3,67.08,0.22,5.601,0.022
33.4,0.5,66.19,0.06,5.677,0.013
35.8,0.6,65.70,0.17,5.720,0.019
37.5,0.8,65.23,0.18,5.761,0.019
39.6,0.5,64.93,0.06,5.787,0.013
41.8,1.9,64.58,0.09,5.819,0.014
43.1,1.0,64.18,0.27,5.855,0.027
44.4,0.6,64.11,0.22,5.861,0.023
46.3,0.6,63.68,0.63,5.900,0.059
48.2,1.0,63.20,0.25,5.945,0.026
49.8,1.0,63.01,0.21,5.963,0.023
51.6,0.9,62.78,0.49,5.985,0.048
54.2,1.1,62.09,0.37,6.051,0.038
56.8,1.0,61.63,0.27,6.097,0.029
58.2,0.7,61.24,0.37,6.136,0.039
60.2,1.0,60.97,0.63,6.163,0.065
62.0,1.4,60.32,0.12,6.230,0.017
63.4,1.2,60.09,0.44,6.253,0.048
64.6,1.6,59.80,0.22,6.284,0.026
66.5,2.0,59.28,0.51,6.339,0.056
68.3,1.9,58.90,0.31,6.380,0.036
70.3,1.8,58.49,0.39,6.424,0.045
71.7,2.2,58.11,0.42,6.467,0.049
73.3,2.8,57.66,0.37,6.516,0.044
75.2,2.8,57.40,0.27,6.546,0.034
77.2,2.5,57.05,0.51,6.587,0.060
79.2,2.6,56.57,0.29,6.642,0.036
80.8,2.0,56.43,0.50,6.659,0.060
82.9,1.0,56.20,0.15,6.686,0.022
