pressure_gpa,volume_a3_conventional_cell,volume_sigma_a3,bulk_modulus_gpa,bulk_modulus_sigma_gpa
0,77.29,0.00,160.3,1.5
4,75.47,0.01,176.6,1.0
8,73.86,0.02,192.6,0.7
12,72.40,0.02,208.2,0.7
16,71.07,0.02,223.6,0.9
20,69.85,0.02,238.8,1.3
24,68.72,0.03,253.7,1.7
28,67.68,0.03,268.1,2.0
32,66.70,0.03,282.1,2.3
36,65.78,0.04,295.0,2.5
40,64.91,0.04,306.3,2.9
44,64.08,0.04,314.7,4.0
48,63.28,0.05,317.9,6.5
52,62.48,0.05,312.8,10.4
56,61.67,0.07,297.0,13.6
60,60.81,0.10,275.3,11.3
64,59.92,0.10,266.1,12.3
68,59.03,0.09,272.6,12.0
72,58.18,0.10,273.8,13.9
76,57.34,0.12,283.4,16.7
80,56.59,0.11,327.0,25.3
84,55.95,0.11,381.9,24.4
88,55.40,0.12,427.8,19.5
92,54.91,0.13,462.6,15.6
96,54.45,0.13,489.2,13.8
100,54.01,0.14,510.6,13.2
104,53.60,0.14,528.6,13.2
108,53.20,0.15,544.6,13.5
112,52.82,0.15,559.4,13.8
116,52.44,0.15,573.4,14.1
120,52.08,0.16,586.9,14.3
124,51.73,0.16,600.1,14.4
128,51.39,0.17,613.1,14.6
132,51.06,0.17,626.0,14.6
136,50.74,0.18,638.8,14.7
140,50.43,0.18,651.6,15.1
