source_order,pressure_gpa,pressure_sigma_gpa,volume_a3_conventional_cell,volume_sigma_a3,compression_path,used_in_solomatova_2016_fit,used_in_zhuravlev_2010_hs_fit
1,15.5,0.3,70.722,0.041,compression,1,1
2,18.4,0.5,70.435,0.086,compression,1,1
3,20.3,0.5,69.543,0.049,compression,1,1
4,22.0,0.5,69.482,0.080,compression,1,1
5,24.2,0.5,68.795,0.086,compression,1,1
6,25.4,0.4,68.393,0.046,compression,1,1
7,26.8,0.5,68.257,0.058,compression,1,1
8,28.0,0.5,67.892,0.060,compression,1,1
9,29.6,0.3,67.519,0.055,compression,1,1
10,30.7,0.3,67.116,0.072,compression,1,1
11,32.2,0.45,67.097,0.098,compression,1,1
12,33.4,0.3,66.184,0.077,compression,1,1
13,34.5,0.3,66.057,0.067,compression,1,1
14,35.7,0.3,65.856,0.092,compression,1,1
15,36.7,0.5,65.431,0.070,compression,1,1
16,38.0,0.2,65.446,0.061,compression,1,1
17,39.1,0.3,64.824,0.071,compression,1,1
18,40.7,0.25,64.558,0.090,compression,1,1
19,41.7,0.4,64.255,0.098,compression,1,1
20,43.2,0.3,64.438,0.116,compression,1,1
21,44.9,0.35,63.990,0.076,compression,1,1
22,46.3,0.45,63.890,0.088,compression,1,1
23,48.1,0.5,63.473,0.083,compression,1,1
24,49.9,0.2,63.149,0.076,compression,1,1
25,50.8,0.25,62.831,0.072,compression,1,1
26,51.9,0.15,62.722,0.082,compression,1,1
27,52.8,0.25,62.656,0.089,compression,1,1
28,53.6,0.25,62.401,0.081,compression,1,1
29,54.7,0.25,62.109,0.076,compression,1,1
30,55.4,0.25,62.113,0.084,compression,1,1
31,56.1,0.25,62.000,0.083,compression,1,1
32,56.8,0.10,61.991,0.081,compression,1,1
33,57.9,0.30,61.658,0.069,compression,1,1
34,58.8,0.10,61.564,0.067,compression,1,1
35,59.4,0.20,61.457,0.091,compression,1,1
36,60.1,0.10,60.965,0.082,compression,1,1
37,60.9,0.10,61.107,0.065,compression,1,1
38,61.4,0.15,60.963,0.081,compression,1,1
39,62.2,0.10,60.763,0.085,compression,1,1
40,63.7,0.10,60.504,0.096,compression,1,1
41,65.2,0.15,60.241,0.095,compression,1,1
42,68.5,0.30,59.630,0.106,compression,1,1
43,70.9,0.10,59.461,0.112,compression,1,1
44,72.2,0.15,58.515,0.183,compression,1,0
45,74.0,0.25,57.606,0.152,compression,1,0
46,76.6,0.10,56.987,0.168,compression,1,0
47,78.3,0.05,56.579,0.181,compression,1,0
48,79.8,0.05,56.261,0.173,compression,1,0
49,80.8,0.10,56.235,0.169,compression,1,0
50,82.1,0.05,56.208,0.103,compression,1,0
51,84.0,0.15,55.870,0.085,compression,1,0
52,86.2,0.05,55.634,0.090,compression,1,0
53,88.5,0.05,55.245,0.094,compression,1,0
54,89.7,0.05,55.015,0.110,compression,1,0
55,57.4,0.5,62.30636,0.104,decompression,0,0
56,58.3,0.5,61.92993,0.121,decompression,0,0
57,61.76,0.05,61.28415,0.114,decompression,0,0
58,63.4,0.4,60.84685,0.135,decompression,0,0
59,65.76,0.05,59.86825,0.345,decompression,0,0
60,67.8,0.2,58.25765,0.581,decompression,0,0
61,69.4,0.3,57.28479,0.163,decompression,0,0
62,70.8,0.2,57.49011,0.106,decompression,0,0
63,73.25,0.05,57.03106,0.091,decompression,0,0
64,75.4,0.2,56.72934,0.121,decompression,0,0
65,77.40,0.05,56.52584,0.097,decompression,0,0
66,78.94,0.05,56.26114,0.093,decompression,0,0
67,80.03,0.05,55.97092,0.148,decompression,0,0
68,82.0,0.2,55.74735,0.127,decompression,0,0
69,84.21,0.05,55.54184,0.131,decompression,0,0
70,86.20,0.05,55.31941,0.193,decompression,0,0
71,87.2,0.1,55.15406,0.222,decompression,0,0
