source_order,pressure_gpa,pressure_sigma_gpa,volume_a3_conventional_cell,volume_sigma_a3,compression_path,used_in_solomatova_2016_fit
1,0.0001,,77.79,0.30,compression,1
2,5.0,0.1,74.43,0.36,compression,1
3,9.7,0.3,72.75,0.36,compression,1
4,12.2,0.1,72.25,0.35,compression,1
5,14.9,0.1,71.14,0.35,compression,1
6,18.7,1.6,70.36,0.35,compression,1
7,20.1,0.1,69.69,0.35,compression,1
8,23.3,0.1,69.24,0.34,compression,1
9,27.2,0.2,68.07,0.34,compression,1
10,29.8,0.3,67.15,0.33,compression,1
11,32.0,0.1,66.63,0.33,compression,1
12,35.0,0.2,65.78,0.32,compression,1
13,38.7,0.2,65.11,0.46,compression,1
14,44.3,0.2,63.86,0.32,compression,1
15,49.3,0.2,62.86,0.31,compression,1
16,53.2,0.7,61.99,0.31,compression,1
17,57.3,0.7,61.12,0.31,compression,1
18,61.4,0.3,59.88,0.30,compression,1
19,64.8,0.2,59.34,0.30,compression,1
20,67.5,0.3,58.57,0.29,compression,1
21,70.1,0.3,58.35,0.29,compression,1
22,72.5,0.3,57.36,0.29,compression,1
23,75.1,0.7,57.03,0.29,compression,1
24,78.1,0.3,56.58,0.29,compression,1
25,80.3,0.4,56.23,0.28,compression,1
26,82.2,0.7,55.84,0.28,compression,1
27,85.2,0.4,55.60,0.28,compression,1
28,87.6,0.3,55.17,0.27,compression,1
29,90.6,0.4,54.84,0.27,compression,1
30,95.4,1.0,54.68,0.27,compression,1
31,101.8,0.4,53.85,0.27,compression,1
32,105.2,0.3,53.47,0.27,compression,1
33,109.5,0.5,53.04,0.26,compression,1
34,114.1,0.5,52.61,0.26,compression,1
35,118.1,0.6,52.16,0.26,compression,1
36,125.8,0.7,51.68,0.26,compression,1
