source_order,pressure_gpa,cell_volume_a3,temperature_k,spin_regime,used_in_high_spin_fit,used_in_low_spin_fit,digitization_pressure_uncertainty_gpa,digitization_volume_uncertainty_a3
1,0.0,76.37,300,high_spin,1,0,0.10,0.03
2,7.6,73.10,300,high_spin,1,0,0.10,0.03
3,10.0,72.32,300,high_spin,1,0,0.10,0.03
4,12.3,71.39,300,high_spin,1,0,0.10,0.03
5,19.6,69.13,300,high_spin,1,0,0.10,0.03
6,22.3,68.44,300,high_spin,1,0,0.10,0.03
7,23.9,67.96,300,high_spin,1,0,0.10,0.03
8,27.1,67.09,300,high_spin,1,0,0.10,0.03
9,30.9,66.16,300,high_spin,1,0,0.10,0.03
10,35.0,65.23,300,high_spin,1,0,0.10,0.03
11,40.2,64.12,300,high_spin,1,0,0.10,0.03
12,43.6,63.49,300,high_spin,1,0,0.10,0.03
13,45.3,63.19,300,high_spin,1,0,0.10,0.03
14,46.5,62.92,300,high_spin,1,0,0.10,0.03
15,48.4,62.56,300,high_spin,1,0,0.10,0.03
16,50.8,62.08,300,mixed_spin,0,0,0.10,0.03
17,54.5,61.42,300,mixed_spin,0,0,0.10,0.03
18,55.2,61.00,300,mixed_spin,0,0,0.10,0.03
19,56.7,60.64,300,mixed_spin,0,0,0.10,0.03
20,58.0,60.34,300,mixed_spin,0,0,0.10,0.03
21,60.1,59.86,300,mixed_spin,0,0,0.10,0.03
22,63.9,59.08,300,mixed_spin,0,0,0.10,0.03
23,66.9,58.39,300,mixed_spin,0,0,0.10,0.03
24,70.8,57.79,300,mixed_spin,0,0,0.10,0.03
25,76.1,57.01,300,low_spin,0,1,0.10,0.03
26,79.1,56.56,300,low_spin,0,1,0.10,0.03
27,82.8,56.08,300,low_spin,0,1,0.10,0.03
28,86.5,55.60,300,low_spin,0,1,0.10,0.03
29,89.5,55.27,300,low_spin,0,1,0.10,0.03
30,91.9,55.00,300,low_spin,0,1,0.10,0.03
31,95.5,54.61,300,low_spin,0,1,0.10,0.03
32,99.6,54.25,300,low_spin,0,1,0.10,0.03
33,102.8,53.92,300,low_spin,0,1,0.10,0.03
34,105.8,53.55,300,low_spin,0,1,0.10,0.03
35,108.7,53.34,300,low_spin,0,1,0.10,0.03
36,111.8,52.98,300,low_spin,0,1,0.10,0.03
37,113.9,52.77,300,low_spin,0,1,0.10,0.03
38,117.8,52.41,300,low_spin,0,1,0.10,0.03
39,120.6,52.11,300,low_spin,0,1,0.10,0.03
40,122.5,51.93,300,low_spin,0,1,0.10,0.03
41,125.7,51.69,300,low_spin,0,1,0.10,0.03
42,129.6,51.42,300,low_spin,0,1,0.10,0.03
