source_row,pressure_gpa,pressure_sigma_gpa,cell_volume_a3,cell_volume_sigma_a3,temperature_k,compression_direction,fit_included,exclusion_reason
1,0.0001,,76.30,0.25,300,ambient,1,
2,0.5,0.2,75.93,0.95,300,decompression,1,
3,10.8,0.1,71.39,0.92,300,decompression,1,
4,13.0,1.0,70.24,0.70,300,decompression,1,
5,13.3,0.7,70.00,0.80,300,decompression,1,
6,13.8,0.4,69.85,0.78,300,compression,1,
7,15.0,2.0,70.00,0.59,300,compression,1,
8,17.0,0.5,69.34,0.35,300,decompression,1,
9,19.0,2.0,68.70,0.43,300,compression,1,
10,21.0,1.0,68.11,0.35,300,compression,1,
11,25.0,2.0,67.12,0.37,300,compression,1,
12,27.8,0.5,66.61,0.36,300,compression,1,
13,30.0,1.0,66.41,0.32,300,compression,1,
14,31.1,0.6,66.41,0.30,300,compression,1,
15,33.9,0.6,65.29,0.27,300,compression,1,
16,36.0,1.0,64.55,0.27,300,compression,1,
17,38.4,0.5,64.46,0.27,300,compression,1,
18,39.5,0.1,64.08,0.21,300,compression,1,
19,42.1,0.4,63.30,0.34,300,decompression,0,spin_transition_at_or_above_40_gpa
20,43.0,3.0,63.20,0.27,300,compression,0,spin_transition_at_or_above_40_gpa
21,44.7,0.9,62.99,0.36,300,decompression,0,spin_transition_at_or_above_40_gpa
22,44.7,0.8,63.13,0.27,300,decompression,0,spin_transition_at_or_above_40_gpa
23,47.0,3.0,61.89,0.41,300,compression,0,spin_transition_at_or_above_40_gpa
24,52.0,3.0,61.16,0.41,300,compression,0,spin_transition_at_or_above_40_gpa
25,52.0,3.0,60.85,0.26,300,compression,0,spin_transition_at_or_above_40_gpa
26,54.0,2.0,61.15,0.31,300,compression,0,spin_transition_at_or_above_40_gpa
27,55.0,3.0,61.12,0.33,300,compression,0,spin_transition_at_or_above_40_gpa
28,57.0,3.0,59.78,0.41,300,compression,0,spin_transition_at_or_above_40_gpa
29,62.0,2.0,58.61,0.36,300,compression,0,spin_transition_at_or_above_40_gpa
30,62.0,2.0,59.13,0.31,300,compression,0,spin_transition_at_or_above_40_gpa
