source_order,pressure_gpa,volume_ratio_v_v0_hs,spin_regime,used_in_source_high_spin_fit,used_in_source_low_spin_fit,used_in_solomatova_2016_fit,digitization_pressure_uncertainty_gpa,digitization_volume_ratio_uncertainty
1,1.0,0.99344,high_spin,1,0,1,0.10,0.00022
2,8.0,0.95642,high_spin,1,0,1,0.10,0.00022
3,9.6,0.94944,high_spin,1,0,1,0.10,0.00022
4,10.3,0.94161,high_spin,1,0,1,0.10,0.00022
5,10.8,0.93590,high_spin,1,0,1,0.10,0.00022
6,13.2,0.92553,high_spin,1,0,1,0.10,0.00022
7,14.5,0.91940,high_spin,1,0,1,0.10,0.00022
8,16.0,0.91432,high_spin,1,0,1,0.10,0.00022
9,18.5,0.90501,high_spin,1,0,1,0.10,0.00022
10,20.8,0.89655,high_spin,1,0,1,0.10,0.00022
11,27.5,0.87413,high_spin,1,0,1,0.10,0.00022
12,29.6,0.86736,high_spin,1,0,1,0.10,0.00022
13,31.3,0.86461,high_spin,1,0,1,0.10,0.00022
14,33.8,0.85340,high_spin,1,0,1,0.10,0.00022
15,43.4,0.82737,high_spin,1,0,1,0.10,0.00022
16,45.2,0.81828,high_spin,1,0,1,0.10,0.00022
17,47.2,0.81235,high_spin,1,0,1,0.10,0.00022
18,50.1,0.80178,high_spin,1,0,1,0.10,0.00022
19,50.8,0.79585,high_spin,1,0,1,0.10,0.00022
20,55.1,0.78760,high_spin,1,0,1,0.10,0.00022
21,59.2,0.77279,mixed_spin,0,0,1,0.10,0.00022
22,61.8,0.76602,mixed_spin,0,0,1,0.10,0.00022
23,63.6,0.76497,mixed_spin,0,0,1,0.10,0.00022
24,65.4,0.75904,mixed_spin,0,0,1,0.10,0.00022
25,70.2,0.75354,mixed_spin,0,0,1,0.10,0.00022
26,73.6,0.74741,mixed_spin,0,0,1,0.10,0.00022
27,74.3,0.73852,low_spin,0,1,1,0.10,0.00022
28,76.3,0.73789,low_spin,0,1,1,0.10,0.00022
29,80.8,0.73450,low_spin,0,1,1,0.10,0.00022
30,83.5,0.72985,low_spin,0,1,1,0.10,0.00022
31,85.3,0.72562,low_spin,0,1,1,0.10,0.00022
32,87.6,0.72329,low_spin,0,1,1,0.10,0.00022
33,89.7,0.72096,low_spin,0,1,1,0.10,0.00022
34,91.2,0.71991,low_spin,0,1,1,0.10,0.00022
35,94.5,0.71610,low_spin,0,1,1,0.10,0.00022
36,95.7,0.71271,low_spin,0,1,1,0.10,0.00022
37,98.4,0.70954,low_spin,0,1,1,0.10,0.00022
38,100.7,0.70764,low_spin,0,1,1,0.10,0.00022
39,103.9,0.70510,low_spin,0,1,1,0.10,0.00022
40,109.9,0.69875,low_spin,0,1,1,0.10,0.00022
41,114.9,0.69050,low_spin,0,1,1,0.10,0.00022
42,126.4,0.67802,low_spin,0,1,1,0.10,0.00022
43,134.1,0.67569,low_spin,0,1,1,0.10,0.00022
