source_row,temperature_k,cell_volume_a3,cell_volume_sigma_a3,au_v_over_v0,au_v_over_v0_sigma,pressure_gpa,pressure_sigma_gpa,published_calculated_pressure_gpa,published_observed_minus_calculated_gpa,fit_included,exclusion_reason
1,300,75.855,0.011,1.0,,0.0,,-0.01,0.01,1,
2,300,71.502,0.022,0.9473,0.0002,10.62,0.06,10.65,-0.03,1,
3,300,69.167,0.014,0.9207,0.0004,17.63,0.11,17.81,-0.18,1,
4,300,67.192,0.014,0.8975,0.0003,24.85,0.10,24.84,0.01,1,
5,300,65.786,0.013,0.8823,0.0003,30.25,0.10,30.46,-0.21,1,
6,300,64.697,0.022,0.8696,0.0002,35.19,0.08,35.21,-0.02,1,
7,300,63.818,0.028,0.8596,0.0002,39.40,0.08,39.33,0.07,1,
8,300,63.103,0.016,0.8515,0.0003,43.04,0.14,42.88,0.16,1,
9,300,62.442,0.020,0.8444,0.0002,46.39,0.10,46.32,0.07,1,
10,300,61.957,0.020,0.8392,0.0001,48.91,0.06,48.97,-0.06,0,excluded_above_47_gpa_high_spin_fit_cutoff
11,300,61.437,0.016,0.8345,0.0003,51.31,0.14,51.90,-0.59,0,excluded_spin_crossover
12,300,60.999,0.014,0.8313,0.0001,52.98,0.05,54.45,-1.47,0,excluded_spin_crossover
13,700,71.893,0.017,0.9529,0.0002,12.11,0.05,12.10,0.01,1,
14,700,69.494,0.020,0.9237,0.0003,19.50,0.08,19.29,0.21,1,
15,700,67.456,0.021,0.9015,0.0001,26.22,0.04,26.40,-0.18,1,
16,700,66.050,0.009,0.8846,0.0002,32.06,0.06,31.92,0.14,1,
17,700,65.015,0.020,0.8729,0.0003,36.52,0.09,36.35,0.17,1,
18,700,64.067,0.015,0.8624,0.0002,40.83,0.07,40.71,0.12,1,
19,700,63.308,0.018,0.8539,0.0002,44.55,0.07,44.41,0.14,1,
20,700,62.610,0.020,0.8459,0.0003,48.26,0.14,48.01,0.25,0,excluded_above_47_gpa_high_spin_fit_cutoff
21,700,62.159,0.017,0.8414,0.0003,50.40,0.12,50.42,-0.02,0,excluded_spin_crossover
22,700,61.676,0.022,0.8368,0.0001,52.70,0.03,53.10,-0.40,0,excluded_spin_crossover
23,700,61.230,0.030,0.8332,0.0002,54.52,0.10,55.66,-1.14,0,excluded_spin_crossover
24,1100,72.388,0.015,0.9595,0.0001,13.45,0.02,13.42,0.03,1,
25,1100,69.870,0.011,0.9291,0.0002,20.82,0.05,20.76,0.06,1,
26,1100,67.844,0.009,0.9061,0.0003,27.50,0.08,27.67,-0.17,1,
27,1100,66.377,0.016,0.8892,0.0003,33.12,0.09,33.31,-0.19,1,
28,1100,65.214,0.013,0.8751,0.0001,38.32,0.05,38.21,0.11,1,
29,1100,64.333,0.013,0.8655,0.0004,42.17,0.14,42.19,-0.02,1,
30,1100,63.573,0.018,0.8570,0.0001,45.80,0.05,45.84,-0.04,1,
31,1100,62.924,0.019,0.8492,0.0003,49.32,0.15,49.12,0.20,0,excluded_above_47_gpa_high_spin_fit_cutoff
32,1100,62.459,0.020,0.8443,0.0002,51.61,0.10,51.56,0.05,0,excluded_spin_crossover
33,1100,62.008,0.015,0.8404,0.0003,53.53,0.15,54.01,-0.48,0,excluded_spin_crossover
34,1100,61.542,0.029,0.8365,0.0001,55.47,0.04,56.63,-1.16,0,excluded_spin_crossover
