pressure_gpa,pressure_sigma_gpa,volume_a3,volume_sigma_a3
4.3,0.1,161.04,0.01
5.9,0.1,160.35,0.01
7.4,0.1,159.21,0.01
9.0,0.1,158.40,0.02
10.4,0.1,157.62,0.02
12.8,0.1,156.64,0.02
14.8,0.1,155.79,0.02
16.1,0.1,154.98,0.02
17.1,0.1,154.67,0.02
18.3,0.1,154.15,0.02
19.6,0.1,153.54,0.03
19.8,0.1,153.35,0.03
21.9,0.1,152.58,0.03
22.9,0.1,152.11,0.03
25.3,0.1,150.92,0.03
26.8,0.1,150.40,0.04
27.6,0.2,149.74,0.04
29.2,0.2,149.09,0.04
30.8,0.2,148.42,0.04
32.1,0.2,148.06,0.04
33.8,0.2,147.06,0.05
35.1,0.2,146.65,0.05
37.3,0.2,145.50,0.05
38.6,0.3,145.19,0.05
40.3,0.3,144.48,0.05
42.4,0.3,143.59,0.05
43.9,0.3,143.46,0.06
45.2,0.4,143.03,0.06
47.6,0.4,142.09,0.06
49.4,0.4,141.64,0.06
50.8,0.4,141.22,0.06
52.7,0.4,140.13,0.06
54.8,0.4,140.03,0.06
56.9,0.5,139.57,0.06
58.4,0.5,138.86,0.07
59.9,0.5,138.60,0.07
61.5,0.5,138.26,0.07
63.1,0.5,137.80,0.07
65.7,0.4,137.07,0.07
67.0,0.5,136.66,0.07
68.9,0.5,135.87,0.07
71.1,0.5,135.51,0.07
72.6,0.5,134.78,0.07
