pressure_gpa,pressure_sd_gpa,temperature_k,table_s1_a_angstrom,table_s1_a_sd_angstrom,table_s1_b_angstrom,table_s1_b_sd_angstrom,table_s1_c_angstrom,table_s1_c_sd_angstrom,cif_a_angstrom,cif_a_sd_angstrom,cif_b_angstrom,cif_b_sd_angstrom,cif_c_angstrom,cif_c_sd_angstrom,cif_volume_a3_conventional_cell,cif_volume_sd_a3,cif_block
4.2,0.1,293,4.7564,0.0011,4.9266,0.0003,6.9005,0.0019,4.7564,0.0011,4.9266,0.0003,6.9005,0.0019,161.70,0.06,data_P1_bridgmanite_4.2GPa
7.1,0.2,293,4.7378,0.0004,4.9098,0.0003,6.8742,0.0013,4.7378,0.0004,4.9097,0.0003,6.8741,0.0013,159.90,0.03,data_P2_bridgmanite_7.1GPa
10.0,0.2,293,4.7191,0.0004,4.8949,0.0004,6.8492,0.0014,4.7191,0.0004,4.8949,0.0004,6.8492,0.0014,158.21,0.04,data_P3_bridgmanite_10.0GPa
13.1,0.2,293,4.7007,0.0004,4.8792,0.0004,6.8205,0.0015,4.7007,0.0004,4.8792,0.0004,6.8205,0.0015,156.44,0.04,data_P4_bridgmanite_13.1GPa
16.3,0.2,293,4.6816,0.0004,4.8648,0.0004,6.7918,0.0017,4.6816,0.0004,4.8648,0.0004,6.7918,0.0017,154.68,0.04,data_P5_bridgmanite_16.3GPa
19.3,0.2,293,4.6658,0.0005,4.8512,0.0004,6.7650,0.0018,4.6658,0.0005,4.8512,0.0004,6.765,0.003,153.12,0.07,data_P6_bridgmanite_19.3GPa
22.1,0.3,293,4.6491,0.0004,4.8362,0.0004,6.7435,0.0019,4.6491,0.0004,4.8362,0.0004,6.7435,0.0019,151.62,0.05,data_P7_bridgmanite_22.1GPa
24.9,0.3,293,4.6342,0.0005,4.8257,0.0004,6.722,0.003,4.6342,0.0005,4.8257,0.0004,6.722,0.003,150.34,0.07,data_P8_bridgmanite_24.9GPa
27.8,0.3,293,4.6208,0.0004,4.8127,0.0004,6.703,0.002,4.6208,0.0004,4.8127,0.0004,6.703,0.002,149.08,0.05,data_P9_bridgmanite_27.8GPa
30.6,0.3,293,4.6107,0.0005,4.8047,0.0005,6.677,0.003,4.6107,0.0005,4.8047,0.0005,6.677,0.003,147.93,0.07,data_P10_bridgmanite_30.6GPa
33.4,0.7,293,4.5955,0.0006,4.7895,0.0005,6.660,0.002,4.5955,0.0006,4.7895,0.0005,6.660,0.002,146.58,0.05,data_P11_bridgmanite_33.4GPa
36.5,0.4,293,4.5835,0.0012,4.7832,0.0011,6.645,0.004,4.5835,0.0012,4.7832,0.0011,6.645,0.004,145.68,0.10,data_P12_bridgmanite_36.5GPa
39.3,0.4,293,4.5725,0.0014,4.7743,0.0040,6.627,0.005,4.5725,0.0011,4.7743,0.0010,6.627,0.005,144.67,0.12,data_P13_bridgmanite_39.3GPa
41.8,0.4,293,4.5624,0.0047,4.7674,0.0014,6.612,0.005,4.5624,0.0015,4.7674,0.0014,6.612,0.005,143.83,0.13,data_P14_bridgmanite_41.8GPa
45.6,0.5,293,4.5467,0.0006,4.7557,0.0005,6.599,0.005,4.5467,0.0006,4.7557,0.0005,6.599,0.005,142.69,0.11,data_P15_bridgmanite_45.6GPa
47.5,0.5,293,4.5353,0.0007,4.7480,0.0006,6.582,0.005,4.5353,0.0007,4.7480,0.0006,6.582,0.005,141.73,0.11,data_P16_bridgmanite_47.5GPa
50.1,0.4,293,4.5254,0.0012,4.7435,0.0045,6.562,0.006,4.5254,0.0012,4.7435,0.0012,6.562,0.006,140.86,0.14,data_P17_bridgmanite_50.1GPa
52.7,0.4,293,4.5142,0.0009,4.7341,0.0009,6.553,0.006,4.5142,0.0009,4.7341,0.0009,6.553,0.006,140.04,0.13,data_P18_bridgmanite_52.7GPa
55.4,0.5,293,4.5044,0.0008,4.7269,0.0007,6.540,0.006,4.5044,0.0008,4.7269,0.0007,6.540,0.006,139.24,0.13,data_P19_bridgmanite_55.4GPa
58.0,0.5,293,4.4962,0.0010,4.7206,0.0009,6.522,0.006,4.4962,0.0010,4.7206,0.0009,6.522,0.006,138.42,0.13,data_P20_bridgmanite_58.0GPa
60.6,0.6,293,4.4814,0.0008,4.7150,0.0007,6.519,0.006,4.4814,0.0008,4.7150,0.0007,6.519,0.006,137.75,0.13,data_P21_bridgmanite_60.6GPa
64.6,0.6,293,4.4668,0.0007,4.6972,0.0006,6.496,0.006,4.4668,0.0007,4.6972,0.0006,6.496,0.006,136.29,0.13,data_P22_bridgmanite_64.6GPa
