pressure_gpa,unit_cell_volume_a3,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3,source_marker_x_pixel,source_marker_y_pixel,used_in_published_fit
12.036,156.718,0.16,0.10,240.0,226.0,1
23.957,151.319,0.16,0.10,352.0,314.0,1
32.046,145.675,0.16,0.10,428.0,406.0,1
83.028,129.969,0.16,0.10,907.0,662.0,1
85.263,129.540,0.16,0.10,928.0,669.0,1
86.593,129.294,0.16,0.10,940.5,673.0,1
91.117,128.436,0.16,0.10,983.0,687.0,1
92.926,128.252,0.16,0.10,1000.0,690.0,1
95.587,127.577,0.16,0.10,1025.0,701.0,1
97.609,126.994,0.16,0.10,1044.0,710.5,1
98.248,126.534,0.16,0.10,1050.0,718.0,1
103.463,125.491,0.16,0.10,1099.0,735.0,1
105.059,125.307,0.16,0.10,1114.0,738.0,1
105.911,124.571,0.16,0.10,1122.0,750.0,1
