observation_index,pressure_gpa,volume_a3_conventional_cell,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3,fit_included,loading_path,phase,source_marker
1,12.070,156.736,0.50,0.15,1,decompression,post-perovskite,filled_circle
2,23.940,151.264,0.50,0.15,1,decompression,post-perovskite,filled_circle
3,31.990,145.839,0.50,0.15,1,decompression,post-perovskite,filled_circle
4,82.830,130.023,0.50,0.15,1,decompression,post-perovskite,filled_circle
5,85.180,129.517,0.50,0.15,1,decompression,post-perovskite,filled_circle
6,87.210,129.425,0.50,0.15,1,decompression,post-perovskite,filled_circle
7,91.040,128.460,0.50,0.15,1,decompression,post-perovskite,filled_circle
8,92.870,128.230,0.50,0.15,1,decompression,post-perovskite,filled_circle
9,95.500,127.586,0.50,0.15,1,decompression,post-perovskite,filled_circle
10,98.050,126.575,0.50,0.15,1,decompression,post-perovskite,filled_circle
11,103.230,125.563,0.50,0.15,1,decompression,post-perovskite,filled_circle
12,104.340,125.333,0.50,0.15,1,decompression,post-perovskite,filled_circle
13,105.780,124.506,0.50,0.15,1,decompression,post-perovskite,filled_circle
