observation_index,pressure_gpa,volume_a3_conventional_cell,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3,fit_included,loading_path,phase,source_marker
1,0.000,163.300,0.00,0.10,1,recovered,bridgmanite,open_circle
2,82.910,131.356,0.50,0.15,1,decompression,bridgmanite,open_circle
3,85.060,131.448,0.50,0.15,1,decompression,bridgmanite,open_circle
4,87.370,130.161,0.50,0.15,1,decompression,bridgmanite,open_circle
5,91.040,129.241,0.50,0.15,1,decompression,bridgmanite,open_circle
6,92.790,129.011,0.50,0.15,1,decompression,bridgmanite,open_circle
7,94.140,128.460,0.50,0.15,1,decompression,bridgmanite,open_circle
8,95.580,128.460,0.50,0.15,1,decompression,bridgmanite,open_circle
9,98.290,127.724,0.50,0.15,1,decompression,bridgmanite,open_circle
10,99.480,126.943,0.50,0.15,1,decompression,bridgmanite,open_circle
11,103.230,126.391,0.50,0.15,1,decompression,bridgmanite,open_circle
12,105.780,125.931,0.50,0.15,1,decompression,bridgmanite,open_circle
