source_row,v0_ls_over_hs,v0_ls_a3_conventional_cell,k0_prime,k0_gpa,kt_45_9_gpa,kt_52_gpa,kt_59_gpa,kt_69_gpa,kt_70_1_gpa,kt_75_8_gpa,kt_81_2_gpa
1,0.99,74.85,4.5,144,310,215,355,420,424,445,465
2,0.98,74.10,4.5,153,304,218,336,430,434,455,475
3,0.97,73.34,4.5,163,301,212,346,441,445,466,487
4,0.96,72.59,4.5,175,296,214,326,454,458,480,500
5,0.99,74.85,4.0,156,315,220,346,402,406,425,443
6,0.98,74.10,4.0,164,311,215,349,411,415,434,452
7,0.97,73.34,4.0,175,305,216,341,423,427,446,464
8,0.96,72.59,4.0,186,303,218,338,435,439,458,476
9,0.99,74.85,3.5,167,303,222,334,379,382,398,413
10,0.98,74.10,3.5,177,300,223,322,390,393,409,424
11,0.97,73.34,3.5,187,300,228,317,401,404,420,435
12,0.96,72.59,3.5,199,301,227,321,414,417,434,449
min,0.96,72.59,3.5,144,296,212,317,379,382,398,413
max,0.99,74.85,4.5,199,315,228,355,454,458,480,500
avg,0.98,73.72,4.0,171,304,219,336,417,420,439,457
