pressure_gpa,c11_gpa,c11_gpa_uncertainty,c11_gpa_printed,c12_gpa,c12_gpa_uncertainty,c12_gpa_printed,c44_gpa,c44_gpa_uncertainty,c44_gpa_printed,cs_gpa,cs_gpa_uncertainty,cs_gpa_printed,ks_gpa,ks_gpa_uncertainty,ks_gpa_printed,gvrh_gpa,gvrh_gpa_uncertainty,gvrh_gpa_printed,vp_km_s,vp_km_s_uncertainty,vp_km_s_printed,vs_km_s,vs_km_s_uncertainty,vs_km_s_printed,vbulk_km_s,vbulk_km_s_uncertainty,vbulk_km_s_printed
0.0001,279,4,279(4),107,4,107(4),143,2,143(2),86,3,86(3),165,3,165(3),116,2,116(2),9.15,0.05,9.15(5),5.52,0.03,5.52(3),6.57,0.06,6.57(6)
1.4,297,3,297(3),107,3,107(3),143,2,143(2),95,2,95(2),170,2,170(2),122,1,122(1),9.29,0.04,9.29(4),5.62,0.02,5.62(2),6.65,0.04,6.65(4)
3.2,307,3,307(3),110,3,110(3),147,2,147(2),98,3,98(3),176,2,176(2),125,1,125(1),9.38,0.04,9.38(4),5.67,0.03,5.67(3),6.72,0.04,6.72(4)
5,328,2,328(2),107,2,107(2),144,2,144(2),110,2,110(2),181,2,181(2),129,1,129(1),9.48,0.03,9.48(3),5.73,0.02,5.73(2),6.78,0.03,6.78(3)
6.1,333,3,333(3),108,3,108(3),145,2,145(2),113,3,113(3),183,3,183(3),131,1,131(1),9.50,0.04,9.50(4),5.75,0.03,5.75(3),6.80,0.05,6.80(5)
6.2,327,2,327(2),112,2,112(2),147,2,147(2),108,2,108(2),184,2,184(2),130,1,130(1),9.49,0.02,9.49(2),5.72,0.02,5.72(2),6.81,0.02,6.81(2)
7.6,346,4,346(4),116,4,116(4),147,2,147(2),115,3,115(3),192,3,192(3),133,1,133(1),9.63,0.04,9.63(4),5.78,0.03,5.78(3),6.94,0.05,6.94(5)
10,366,4,366(4),121,4,121(4),152,2,152(2),123,3,123(3),203,3,203(3),139,1,139(1),9.81,0.04,9.81(4),5.87,0.03,5.87(3),7.09,0.05,7.09(5)
12.4,387,2,387(2),123,2,123(2),150,2,150(2),132,2,132(2),211,2,211(2),143,1,143(1),9.90,0.03,9.90(3),5.91,0.02,5.91(2),7.18,0.03,7.18(3)
14.9,408,2,408(2),128,2,128(2),152,2,152(2),140,2,140(2),221,2,221(2),147,1,147(1),10.05,0.03,10.05(3),5.97,0.02,5.97(2),7.31,0.03,7.31(3)
17,426,17,426(17),129,5,129(5),152,2,152(2),148,2,148(2),228,6,228(6),150,1,150(1),10.13,0.08,10.13(8),6.00,0.02,6.00(2),7.39,0.10,7.39(10)
17.5,435,11,435(11),127,10,127(10),156,4,156(4),154,3,154(3),229,10,229(10),156,2,156(2),10.22,0.12,10.22(12),6.10,0.04,6.10(4),7.40,0.16,7.40(16)
18,440,10,440(10),127,10,127(10),156,2,156(2),157,2,157(2),231,10,231(10),156,1,156(1),10.23,0.12,10.23(12),6.10,0.03,6.10(3),7.43,0.16,7.43(16)
21.3,465,11,465(11),133,10,133(10),155,2,155(2),166,4,166(4),244,10,244(10),159,1,159(1),10.36,0.12,10.36(12),6.12,0.03,6.12(3),7.57,0.16,7.57(16)
25.2,499,11,499(11),137,10,137(10),160,2,160(2),181,4,181(4),258,10,258(10),168,1,168(1),10.56,0.11,10.56(11),6.24,0.03,6.24(3),7.73,0.15,7.73(15)
26.7,500,9,500(9),140,9,140(9),158,2,158(2),180,3,180(3),260,7,260(7),167,1,167(1),10.53,0.08,10.53(8),6.19,0.02,6.19(2),7.73,0.10,7.73(10)
31.6,550,12,550(12),147,12,147(12),163,7,163(7),202,6,202(6),281,9,281(9),178,4,178(4),10.81,0.11,10.81(11),6.33,0.06,6.33(6),7.97,0.13,7.97(13)
36.2,583,11,583(11),155,10,155(10),161,3,161(3),214,4,214(4),298,10,298(10),181,2,181(2),10.94,0.11,10.94(11),6.33,0.03,6.33(3),8.13,0.14,8.13(14)
41.1,616,11,616(11),165,10,165(10),162,9,162(9),225,3,225(3),315,10,315(10),185,4,185(4),11.08,0.12,11.08(12),6.36,0.08,6.36(8),8.30,0.13,8.30(13)
45.9,641,12,641(12),137,10,137(10),161,7,161(7),252,5,252(5),305,10,305(10),193,4,193(4),11.04,0.11,11.04(11),6.44,0.06,6.44(6),8.16,0.12,8.16(12)
52,596,13,596(13),32,10,32(10),160,8,160(8),282,8,282(8),220,8,220(8),201,5,201(5),10.14,0.10,10.14(10),6.48,0.07,6.48(7),6.83,0.12,6.83(12)
59,772,21,772(21),119,20,119(20),171,7,171(7),326,7,326(7),337,19,337(19),222,4,222(4),11.40,0.18,11.40(18),6.74,0.06,6.74(6),8.33,0.23,8.33(23)
69,902,29,902(29),178,24,178(24),173,9,173(9),362,14,362(14),419,22,419(22),234,6,234(6),12.10,0.19,12.10(19),6.83,0.09,6.83(9),9.18,0.24,9.18(24)
70.1,891,22,891(22),189,22,189(22),174,2,174(2),351,3,351(3),423,22,423(22),232,2,232(2),12.09,0.18,12.09(18),6.79,0.02,6.79(2),9.21,0.24,9.21(24)
75.8,939,25,939(25),193,24,193(24),175,2,175(2),373,4,373(4),442,24,442(24),239,2,239(2),12.24,0.19,12.24(19),6.84,0.02,6.84(2),9.35,0.25,9.35(25)
81.2,970,27,970(27),205,26,205(26),174,9,174(9),382,6,382(6),460,26,460(26),240,5,240(5),12.33,0.21,12.33(21),6.82,0.08,6.82(8),9.48,0.27,9.48(27)
