source_order,pressure_gpa,volume_a3_conventional_cell,volume_sigma_a3,spin_region,used_in_solomatova_2016_fit
1,0.0001,75.62,0.06,high_spin,1
2,5.6,72.78,0.14,high_spin,1
3,8.9,71.46,0.34,high_spin,1
4,11.8,70.33,0.37,high_spin,1
5,14.4,69.74,0.47,high_spin,1
6,17.7,68.76,0.23,high_spin,1
7,24.0,67.22,0.28,high_spin,1
8,28.1,66.05,0.24,high_spin,1
9,30.9,65.24,0.25,high_spin,1
10,34.3,64.39,0.29,high_spin,1
11,37.2,63.79,0.29,high_spin,1
12,40.8,63.14,0.28,high_spin,1
13,42.0,63.02,0.32,high_spin,1
14,43.8,62.72,0.29,high_spin,1
15,45.7,62.31,0.32,mixed_spin,1
16,47.4,61.91,0.31,mixed_spin,1
17,49.6,61.26,0.28,mixed_spin,1
18,51.5,60.73,0.25,mixed_spin,1
19,53.1,60.37,0.22,mixed_spin,1
20,54.6,59.98,0.27,mixed_spin,1
21,56.5,59.52,0.27,mixed_spin,1
22,58.8,59.31,0.29,mixed_spin,1
23,62.7,58.62,0.33,mixed_spin,1
24,63.9,58.51,0.41,low_spin,1
25,64.7,58.39,0.23,low_spin,1
26,69.1,57.62,0.31,low_spin,1
27,70.1,57.30,0.16,low_spin,1
28,74.3,56.75,0.19,low_spin,1
29,77.4,56.26,0.17,low_spin,1
