initial_density_g_cm3,initial_density_uncertainty_g_cm3,flyer_material,flyer_velocity_km_s,flyer_velocity_uncertainty_km_s,shock_velocity_km_s,shock_velocity_uncertainty_km_s,particle_velocity_km_s,particle_velocity_uncertainty_km_s,hugoniot_pressure_gpa,hugoniot_pressure_uncertainty_gpa,hugoniot_density_g_cm3,hugoniot_density_uncertainty_g_cm3
3.07,0.01,Cu,2.98,0.006,7.07,0.14,2.20,0.03,47.75,0.72,4.47,0.04
3.08,0.01,Cu,3.23,0.007,7.42,0.15,2.50,0.03,57.13,0.86,4.66,0.04
3.07,0.01,Cu,3.93,0.007,7.95,0.16,2.78,0.03,67.49,1.01,4.72,0.05
3.08,0.01,Cu,4.54,0.009,8.52,0.17,3.09,0.03,78.65,1.18,4.93,0.06
3.05,0.01,93W,4.02,0.010,8.32,0.17,3.14,0.03,79.49,1.19,4.89,0.06
3.07,0.01,Cu,4.80,0.009,8.49,0.17,3.43,0.05,89.40,1.50,5.15,0.08
3.05,0.01,93W,4.34,0.009,8.83,0.18,3.37,0.04,90.36,1.36,4.92,0.06
2.98,0.01,93W,4.74,0.010,9.07,0.18,3.69,0.03,90.48,1.39,5.01,0.07
3.07,0.01,93W,4.91,0.010,9.39,0.19,3.77,0.04,108.7,1.63,5.13,0.08
3.05,0.01,93W,5.02,0.010,9.61,0.19,3.86,0.04,112.8,1.69,5.09,0.09
3.09,0.01,Cu,5.89,0.011,9.80,0.19,3.95,0.04,119.4,1.79,5.18,0.09
3.08,0.01,93W,5.30,0.011,9.68,0.19,4.01,0.04,120.70,1.81,5.26,0.09
3.07,0.01,Cu,6.58,0.013,10.28,0.21,4.40,0.04,140.64,2.11,5.37,0.11
