source_order,pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,volume_a3_conventional_cell,volume_uncertainty_a3,pressure_calibration,laser_annealed,used_in_published_fit
1,0.37,0.01,4.7757,0.0001,4.9349,0.0001,6.9166,0.0001,163.008,0.008,mao_1986_ruby,0,1
2,0.86,0.02,4.7720,0.0001,4.9314,0.0001,6.9111,0.0001,162.638,0.006,mao_1986_ruby,0,1
3,1.25,0.03,4.7694,0.0001,4.9294,0.0001,6.9075,0.0001,162.398,0.005,mao_1986_ruby,0,1
4,2.18,0.04,4.7639,0.0001,4.9247,0.0001,6.8995,0.0001,161.871,0.010,mao_1986_ruby,0,1
5,2.68,0.05,4.7605,0.0001,4.9219,0.0001,6.8947,0.0001,161.546,0.008,mao_1986_ruby,0,1
6,3.45,0.07,4.7549,0.0001,4.9174,0.0001,6.8868,0.0001,161.026,0.010,mao_1986_ruby,0,1
7,4.09,0.08,4.7507,0.0001,4.9137,0.0001,6.8808,0.0001,160.622,0.011,mao_1986_ruby,0,1
8,4.86,0.10,4.7458,0.0001,4.9096,0.0001,6.8737,0.0002,160.160,0.008,mao_1986_ruby,0,1
9,6.02,0.12,4.7391,0.0001,4.9039,0.0001,6.8642,0.0001,159.525,0.005,mao_1986_ruby,0,1
10,6.97,0.14,4.7327,0.0001,4.8991,0.0001,6.8559,0.0001,158.962,0.005,mao_1986_ruby,0,1
11,8.00,0.16,4.7266,0.0001,4.8934,0.0001,6.8469,0.0001,158.363,0.005,mao_1986_ruby,0,1
12,9.41,0.19,4.7189,0.0001,4.8866,0.0001,6.8354,0.0001,157.623,0.006,mao_1986_ruby,0,1
13,10.73,0.21,4.7117,0.0001,4.8799,0.0001,6.8256,0.0001,156.939,0.006,mao_1986_ruby,0,1
14,11.73,0.23,4.7058,0.0001,4.8760,0.0001,6.8172,0.0001,156.426,0.006,mao_1986_ruby,0,1
15,12.74,0.25,4.7011,0.0002,4.8706,0.0002,6.8061,0.0002,155.843,0.008,mao_1986_ruby,0,1
16,13.70,0.27,4.6960,0.0001,4.8671,0.0001,6.8013,0.0001,155.448,0.006,mao_1986_ruby,0,1
17,14.68,0.29,4.6911,0.0001,4.8637,0.0001,6.7956,0.0002,155.049,0.008,mao_1986_ruby,0,1
18,15.45,0.31,4.6868,0.0002,4.8603,0.0002,6.7894,0.0002,154.657,0.010,mao_1986_ruby,0,1
19,16.30,0.32,4.6812,0.0001,4.8561,0.0001,6.7819,0.0002,154.170,0.011,mao_1986_ruby,0,1
20,18.04,0.36,4.6746,0.0001,4.8510,0.0001,6.7724,0.0003,153.575,0.011,mao_1986_ruby,0,1
21,19.51,0.39,4.6664,0.0002,4.8458,0.0002,6.7582,0.0003,152.822,0.011,mao_1986_ruby,0,1
22,21.00,0.42,4.6628,0.0001,4.8408,0.0002,6.7539,0.0004,152.447,0.014,mao_1986_ruby,0,1
23,26.45,0.53,4.6268,0.0003,4.8132,0.0002,6.7097,0.0001,149.424,0.016,hemley_1989_neon,1,1
24,29.25,0.58,4.6220,0.0001,4.8071,0.0001,6.6989,0.0001,148.837,0.022,hemley_1989_neon,1,1
25,31.73,0.63,4.6050,0.0005,4.7997,0.0004,6.6811,0.0006,147.668,0.030,hemley_1989_neon,1,1
26,4.93,0.10,4.7456,0.0001,4.9094,0.0001,6.8750,0.0003,160.173,0.013,mao_1986_ruby,0,1
27,10.67,0.21,4.7081,0.0004,4.8784,0.0005,6.8234,0.0010,156.721,0.035,mao_1986_ruby,0,1
28,15.76,0.31,4.6844,0.0001,4.8597,0.0001,6.7881,0.0010,154.531,0.035,mao_1986_ruby,0,1
29,19.97,0.40,4.6600,0.0005,4.8385,0.0004,6.7505,0.0011,152.208,0.043,mao_1986_ruby,0,1
30,5.89,0.12,4.7387,0.0001,4.9045,0.0001,6.8645,0.0002,159.539,0.010,mao_1986_ruby,0,1
31,9.56,0.19,4.7185,0.0001,4.8874,0.0001,6.8349,0.0002,157.622,0.010,mao_1986_ruby,0,1
32,14.22,0.28,4.6936,0.0001,4.8689,0.0002,6.8043,0.0004,155.499,0.019,mao_1986_ruby,0,1
33,19.62,0.39,4.6664,0.0003,4.8418,0.0004,6.7616,0.0008,152.768,0.032,mao_1986_ruby,0,1
34,24.14,0.48,4.6389,0.0005,4.8204,0.0004,6.7149,0.0008,150.155,0.048,mao_1986_ruby,0,1
35,24.08,0.48,4.6419,0.0006,4.8256,0.0004,6.7315,0.0007,150.785,0.038,mao_1986_ruby,0,1
36,24.45,0.49,4.6424,0.0006,4.8256,0.0005,6.7292,0.0008,150.750,0.038,mao_1986_ruby,0,1
37,35.75,0.71,4.5787,0.0001,4.7758,0.0001,6.6438,0.0001,145.281,0.030,hemley_1989_neon,1,1
38,37.38,0.75,4.5739,0.0005,4.7717,0.0005,6.6385,0.0007,144.886,0.030,hemley_1989_neon,1,1
39,37.69,0.75,4.5705,0.0002,4.7641,0.0002,6.6300,0.0003,144.365,0.013,hemley_1989_neon,1,1
40,39.49,0.79,4.5698,0.0003,4.7622,0.0002,6.6262,0.0003,144.201,0.013,hemley_1989_neon,1,1
41,39.97,0.80,4.5660,0.0002,4.7607,0.0001,6.6202,0.0001,143.907,0.011,hemley_1989_neon,1,1
42,38.86,0.78,4.5742,0.0003,4.7669,0.0003,6.6278,0.0004,144.517,0.018,hemley_1989_neon,1,1
