source_order,run_id,series,pressure_ruby_gpa,pressure_ruby_uncertainty_gpa,pressure_au_gpa,pressure_au_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,volume_a3_conventional_cell,volume_uncertainty_a3,b_over_a,c_over_a,run_reference_volume_a3,used_in_published_fit
1,ap102,ap,5.31,0.01,,,4.740,0.005,4.904,0.004,6.878,0.006,159.9,0.4,1.035,1.451,163.6,1
2,ap105,ap,2.64,0.03,,,4.755,0.004,4.923,0.004,6.906,0.005,161.7,0.4,1.035,1.452,163.6,1
3,ap106,ap,1.27,0.03,,,4.765,0.004,4.934,0.004,6.914,0.006,162.6,0.4,1.036,1.451,163.6,1
4,ap107,ap,0.00,,,,4.774,0.004,4.941,0.004,6.935,0.006,163.6,0.4,1.035,1.452,163.6,1
5,ku107,ku,8.71,0.03,8.57,0.29,4.717,0.006,4.890,0.005,6.843,0.009,157.8,0.5,1.037,1.451,163.5,1
6,ku109,ku,8.25,0.05,8.25,0.28,4.716,0.005,4.892,0.005,6.851,0.008,158.1,0.5,1.037,1.453,163.5,1
7,ku111,ku,6.84,0.04,6.69,0.23,4.727,0.005,4.899,0.005,6.860,0.008,158.9,0.5,1.036,1.451,163.5,1
8,ku113,ku,5.84,0.08,5.85,0.20,4.731,0.006,4.906,0.005,6.871,0.009,159.5,0.5,1.037,1.452,163.5,1
9,ku115,ku,4.39,0.04,4.29,0.15,4.745,0.006,4.915,0.005,6.885,0.009,160.5,0.5,1.036,1.451,163.5,1
10,ku117,ku,0.00,,0.00,,4.776,0.005,4.939,0.005,6.933,0.008,163.5,0.5,1.034,1.452,163.5,1
