source_order,run_number,used_in_published_low_spin_fit,spin_regime,pressure_gpa,pressure_standard_deviation_gpa,volume_a3_conventional_cell,volume_standard_deviation_a3,laser_annealed,ambient_high_spin_anchor
1,1,0,high_spin,0.0001,0,163.27,0.04,0,1
2,1,0,high_spin,3.3,0.1,161.45,0.06,0,0
3,1,0,high_spin,3.9,0.1,161.11,0.05,0,0
4,1,0,high_spin,4.3,0.2,160.88,0.06,0,0
5,1,0,high_spin,6.4,0.2,159.77,0.05,0,0
6,1,0,high_spin,8.7,0.2,158.58,0.05,0,0
7,1,0,high_spin,15.2,0.3,155.51,0.04,0,0
8,1,0,high_spin,17,0.4,155.03,0.04,0,0
9,1,0,mixed_spin_transition,18.7,0.4,154.14,0.05,0,0
10,1,0,mixed_spin_transition,20.3,0.5,153.34,0.05,0,0
11,1,0,mixed_spin_transition,24.6,0.7,151.16,0.15,0,0
12,1,1,low_spin,27.7,0.6,149.87,0.16,1,0
13,1,1,low_spin,34,0.7,147.13,0.17,0,0
14,1,1,low_spin,37.5,0.9,146.07,0.19,1,0
15,1,1,low_spin,39.2,0.8,145.57,0.07,0,0
16,1,1,low_spin,40.7,0.8,144.96,0.2,0,0
17,1,1,low_spin,42,1,144.58,0.09,0,0
18,1,1,low_spin,42.9,1,144.33,0.07,1,0
19,1,1,low_spin,43.6,0.9,144.02,0.22,0,0
20,1,1,low_spin,44.8,0.9,143.73,0.07,0,0
21,1,1,low_spin,47.7,1.1,142.77,0.1,0,0
22,1,1,low_spin,48.2,1,142.55,0.06,1,0
23,1,1,low_spin,48.9,1,142.27,0.11,0,0
24,1,1,low_spin,51.9,1.4,141.29,0.06,1,0
25,1,1,low_spin,53.6,1.2,141.09,0.2,0,0
26,1,1,low_spin,57.7,1.2,140.03,0.08,0,0
27,1,1,low_spin,60.7,1.2,138.93,0.07,1,0
28,1,1,low_spin,65.4,1.3,137.86,0.09,1,0
29,1,1,low_spin,70.8,1.5,136.32,0.26,0,0
30,1,1,low_spin,71.9,1.5,136.1,0.1,0,0
31,1,1,low_spin,73.8,1.5,135.78,0.09,1,0
32,1,1,low_spin,74.3,1.7,135.52,0.3,1,0
33,1,1,low_spin,77.3,1.6,134.85,0.09,0,0
34,1,1,low_spin,78.9,1.7,134.51,0.3,0,0
35,1,1,low_spin,80.7,1.6,134.04,0.04,1,0
36,1,1,low_spin,83,1.7,133.54,0.19,1,0
37,1,1,low_spin,90.2,1.8,132.06,0.32,0,0
38,1,1,low_spin,91.8,2,131.6,0.08,0,0
39,1,1,low_spin,93.1,1.9,131.45,0.07,1,0
40,1,1,low_spin,95.6,2,131.02,0.23,0,0
41,1,1,low_spin,99.2,2,130.31,0.3,1,0
42,1,1,low_spin,99.7,2,130.07,0.08,0,0
43,1,1,low_spin,105,2.2,128.93,0.32,0,0
44,1,1,low_spin,110.6,2.2,127.92,0.08,1,0
45,1,1,low_spin,118.5,2.4,126.25,0.09,1,0
46,1,1,low_spin,120.1,2.5,126.03,0.09,1,0
47,2,0,high_spin,4,0.2,161.19,0.06,0,0
48,2,0,high_spin,4.4,0.1,160.91,0.05,0,0
49,2,0,high_spin,5.3,0.2,160.41,0.07,0,0
50,2,0,high_spin,7.5,0.2,159.37,0.06,0,0
51,2,0,high_spin,8.5,0.3,158.53,0.13,0,0
52,2,0,high_spin,9.4,0.3,158.35,0.07,0,0
53,2,0,high_spin,10.8,0.3,157.67,0.05,0,0
54,2,0,high_spin,12.2,0.3,157,0.05,0,0
55,2,0,high_spin,13.9,0.4,156.21,0.04,0,0
56,2,0,high_spin,15.6,0.4,155.54,0.04,0,0
57,2,0,high_spin,16.6,0.4,155.14,0.04,0,0
58,2,0,high_spin,17.4,0.4,154.76,0.05,0,0
59,2,0,mixed_spin_transition,18,0.4,154.53,0.06,0,0
60,2,0,mixed_spin_transition,20.9,0.6,152.9,0.06,0,0
61,2,0,mixed_spin_transition,22.2,0.6,152.25,0.06,0,0
62,2,1,low_spin,25.4,0.7,150.53,0.05,0,0
63,2,1,low_spin,29.1,0.6,149.29,0.07,1,0
64,2,1,low_spin,31,0.8,148.7,0.07,0,0
65,2,1,low_spin,31.7,0.7,148.34,0.07,0,0
66,2,1,low_spin,34.8,0.7,147.09,0.06,1,0
67,2,1,low_spin,37.9,0.8,146.22,0.19,0,0
68,3,0,high_spin,0.6,0,162.79,0.04,0,0
69,3,0,high_spin,1.8,0.1,162.42,0.03,0,0
70,3,0,high_spin,9.6,0.2,158.12,0.03,0,0
71,3,0,high_spin,15.8,0.3,155.19,0.03,0,0
72,3,0,mixed_spin_transition,18.9,0.4,153.96,0.04,0,0
73,3,0,mixed_spin_transition,19.7,0.4,153.63,0.05,0,0
74,3,0,mixed_spin_transition,20.3,0.4,153.31,0.04,0,0
75,3,0,mixed_spin_transition,24.3,0.5,151.06,0.06,0,0
76,3,1,low_spin,26.1,0.5,150.29,0.07,1,0
77,3,1,low_spin,27.2,0.6,149.72,0.06,0,0
78,3,1,low_spin,31.2,0.6,148.43,0.07,0,0
79,3,1,low_spin,36.2,0.7,146.56,0.06,1,0
80,3,1,low_spin,37.9,0.8,145.91,0.07,0,0
81,3,1,low_spin,39.4,0.8,145.55,0.07,0,0
82,3,1,low_spin,44.8,1,143.53,0.08,1,0
83,3,1,low_spin,50.9,1,141.85,0.07,0,0
84,3,1,low_spin,55.1,1.1,140.53,0.11,1,0
85,3,1,low_spin,64.1,1.3,138.19,0.08,1,0
86,3,1,low_spin,69.3,1.4,136.73,0.08,0,0
87,3,1,low_spin,75.3,1.5,135.26,0.07,1,0
88,3,1,low_spin,79.9,1.6,134.24,0.08,0,0
89,3,1,low_spin,82.9,1.7,133.54,0.07,0,0
90,3,1,low_spin,86.6,1.8,132.57,0.07,0,0
91,3,1,low_spin,86.6,1.8,132.57,0.07,1,0
92,3,1,low_spin,93.8,1.9,131.14,0.09,0,0
93,3,1,low_spin,97.6,2,130.41,0.09,1,0
94,3,1,low_spin,104.9,2.2,129.07,0.08,0,0
95,3,1,low_spin,109.4,2.3,128.03,0.09,1,0
96,3,1,low_spin,115.3,2.3,127.15,0.08,0,0
97,3,1,low_spin,125.6,2.6,125.06,0.1,1,0
