source_row,run,au_volume_a3,au_volume_a3_uncertainty,pressure_gpa,pressure_gpa_uncertainty,ruby_pressure_gpa,ruby_pressure_gpa_uncertainty,temperature_k,a_angstrom,a_angstrom_uncertainty,b_angstrom,b_angstrom_uncertainty,c_angstrom,c_angstrom_uncertainty,volume_a3,volume_a3_uncertainty,thermal_fit_included,static_refit_included
1,M114,61.06,0.03,32.4,0.2,,,1800.0,8.364,0.001,9.645,0.001,2.713,0.001,218.9,0.1,true,false
2,M114,60.96,0.02,31.6,0.1,,,1600.0,8.354,0.006,9.639,0.004,2.709,0.004,218.1,0.4,true,false
3,M114,60.79,0.03,31.2,0.1,,,1400.0,8.345,0.003,9.63,0.002,2.703,0.002,217.2,0.2,true,false
4,M114,60.64,0.02,30.8,0.1,,,1200.0,8.342,0.004,9.621,0.003,2.701,0.002,216.8,0.2,true,false
5,M114,60.48,0.03,30.3,0.1,,,1000.0,8.333,0.006,9.613,0.004,2.702,0.003,216.5,0.3,true,false
6,M114,60.37,0.03,29.7,0.1,,,800.0,8.329,0.001,9.607,0.001,2.696,0.001,215.7,0.1,true,false
7,M114,60.21,0.03,29.3,0.2,,,600.0,8.322,0.002,9.599,0.002,2.692,0.001,215.0,0.1,true,false
8,M114,60.0,0.04,28.7,0.2,,,300.0,8.315,0.004,9.591,0.003,2.692,0.002,214.7,0.2,true,true
9,M114,59.93,0.02,37.6,0.1,,,1800.0,8.304,0.005,9.594,0.005,2.691,0.002,214.4,0.3,true,false
10,M114,59.78,0.02,37.2,0.1,,,1600.0,8.298,0.006,9.591,0.004,2.685,0.003,213.7,0.3,true,false
11,M114,59.64,0.04,36.8,0.2,,,1400.0,8.287,0.002,9.588,0.002,2.682,0.001,213.1,0.1,true,false
12,M114,59.49,0.04,36.5,0.2,,,1200.0,8.235,0.012,9.547,0.006,2.701,0.005,212.4,0.5,true,false
13,M114,59.35,0.04,36.1,0.2,,,1000.0,8.269,0.007,9.558,0.004,2.682,0.003,212.0,0.3,true,false
14,M114,59.17,0.05,36.0,0.3,,,800.0,8.263,0.008,9.538,0.005,2.685,0.003,211.6,0.3,true,false
15,M114,59.08,0.03,35.4,0.2,,,600.0,8.261,0.005,9.546,0.003,2.676,0.002,211.0,0.2,true,false
16,M114,58.88,0.03,34.9,0.2,,,300.0,8.249,0.006,9.539,0.004,2.674,0.003,210.4,0.3,true,true
17,M114,59.46,0.03,40.0,0.1,,,1800.0,8.278,0.006,9.573,0.005,2.687,0.002,213.0,0.2,true,false
18,M114,58.48,0.04,37.2,0.2,,,300.0,8.248,0.007,9.528,0.006,2.668,0.002,209.7,0.3,true,true
19,M114,58.09,0.02,39.6,0.1,,,300.0,8.208,0.004,9.501,0.004,2.665,0.002,207.8,0.2,true,true
20,M114,57.79,0.02,41.5,0.2,,,300.0,8.162,0.009,9.497,0.009,2.669,0.008,206.9,0.7,true,true
21,M114,,,0.0001,,,,300.0,8.661,0.004,9.953,0.005,2.785,0.002,240.1,0.3,true,true
22,M140,59.12,0.02,33.5,0.1,,,300.0,8.273,0.008,9.547,0.005,2.68,0.002,211.7,0.3,true,true
