source_order,pressure_gpa,temperature_k,a_angstrom,a_angstrom_error,b_angstrom,b_angstrom_error,c_angstrom,c_angstrom_error,volume_a3,volume_a3_error
1,0.0,300,2.781,0.001,9.201,0.004,9.405,0.003,240.7,0.200
2,0.0,300,2.779,0.001,9.186,0.005,9.373,0.002,239.3,0.100
3,42.7,300,2.636,0.003,8.810,0.037,8.874,0.010,206.0,0.900
4,42.8,300,2.636,0.003,8.801,0.034,8.869,0.011,205.7,0.900
5,47.4,300,2.631,0.001,8.695,0.006,8.979,0.003,203.1,0.200
6,55.3,300,2.625,0.001,8.657,0.006,8.844,0.002,201.0,0.200
7,55.8,300,2.617,0.001,8.644,0.018,8.822,0.001,199.6,0.100
8,60.2,300,2.607,0.001,8.609,0.005,8.792,0.003,197.3,0.100
9,66.1,300,2.598,0.001,8.559,0.004,8.754,0.002,194.6,0.100
10,66.5,300,2.600,0.002,8.560,0.005,8.747,0.003,194.7,0.200
11,67.7,300,2.599,0.000,8.573,0.001,8.759,0.001,195.2,0.000
12,75.7,300,2.585,0.000,8.520,0.002,8.710,0.001,191.8,0.100
13,84.5,300,2.570,0.001,8.451,0.003,8.666,0.002,188.3,0.100
14,91.2,300,2.560,0.000,8.437,0.002,8.629,0.001,186.4,0.000
