run,pressure_kbar,pressure_uncertainty_kbar,lattice_parameter_a,lattice_parameter_a_uncertainty,volume_ratio
J.87a,0,,4.2805,0.0004,1.0
B.8,44,4,4.241,0.004,0.973
B.9,116,3,4.19,0.002,0.938
B.10,149,9,4.165,0.001,0.921
B.20,158,6,4.149,,0.91
B.11,204,9,4.132,,0.9
B.12,250,10,4.104,,0.882
B.13,301,10,4.076,,0.864
B.19,304,16,4.073,,0.861
B.14,361,14,4.045,,0.844
B.15,410,13,4.026,,0.832
B.16,452,13,4.009,,0.822
B.17,486,18,3.995,,0.813
B.18,494,18,3.986,,0.808
B.1,0,,4.28,0.002,
B.6,0,,4.278,0.004,
B.7,0,,4.281,0.001,
