source_order,measurement_id,phase_branch,temperature_k,pressure_gpa,pressure_uncertainty_gpa,atomic_volume_angstrom3,atomic_volume_uncertainty_angstrom3,used_in_b1_fit,used_in_rhombohedral_fit,exclusion_reason
1,P1,B1,300,1.5,0.2,9.751,0.013,1,0,
2,P2,B1,300,3.3,0.1,9.653,0.015,1,0,
3,P3,B1,300,5.2,0.1,9.562,0.006,1,0,
4,P4,B1,300,6.4,0.2,9.474,0.015,1,0,
5,P5,B1,300,8.1,0.1,9.424,0.018,1,0,
6,P6,B1,300,9.7,0.3,9.303,0.015,1,0,
7,P7,B1,300,11.3,0.2,9.262,0.006,1,0,
8,P8a,B1,300,12.7,0.1,9.183,0.006,1,0,
9,P8b,B1,300,13.4,0.1,9.143,0.006,1,0,
10,P9,B1,300,15.4,0.1,9.054,0.008,1,0,
11,P10,B1,300,16.8,0.1,9.001,0.005,1,0,
12,P11,B1,300,18.1,0.1,8.953,0.008,1,0,
13,P12,B1,300,20.1,0.2,8.863,0.014,1,0,
14,P13,B1,300,23.3,0.2,8.757,0.020,1,0,
15,P14,B1,300,26.7,0.3,8.575,0.011,0,0,changed P-V trend preceding cubic-rhombohedral transition
16,P15,B1,300,30.1,0.3,8.451,0.020,0,0,changed P-V trend preceding cubic-rhombohedral transition
17,P16,rhombohedral,300,34.5,0.5,8.337,0.007,0,1,
18,P17,rhombohedral,300,40.4,0.6,8.149,0.005,0,1,
19,P18,rhombohedral,300,46.4,0.6,7.963,0.007,0,1,
20,P19,rhombohedral,300,51.8,0.6,7.839,0.010,0,1,
21,P20,rhombohedral,300,56.4,0.5,7.728,0.012,0,1,
22,P21,rhombohedral,300,60.9,0.5,7.618,0.013,0,1,
23,P22,rhombohedral,300,65.4,0.4,7.506,0.012,0,1,
24,P23,rhombohedral,300,70.0,0.4,7.352,0.015,0,1,
25,P24,rhombohedral,300,74.3,0.4,7.220,0.015,0,1,
26,P25,rhombohedral,300,79.6,0.1,7.112,0.013,0,1,
27,P26,rhombohedral,300,84.0,0.5,7.027,0.013,0,1,
28,P27,rhombohedral,300,88.7,0.9,6.922,0.015,0,1,
