series,temperature_k,temperature_uncertainty_k,pt_lattice_parameter_a,pressure_gpa,pressure_uncertainty_gpa,mgo_unit_cell_volume_a3,mgo_unit_cell_volume_uncertainty_a3
heated,2015,200,3.8824,20.5,1.2,70.816,0.007
heated,2227,200,3.8912,19.7,1.3,71.287,0.010
heated,2474,200,3.8949,21.3,1.5,71.765,0.007
heated,2188,200,3.8787,22.5,1.4,70.607,0.004
heated,2000,200,3.8685,23.9,1.4,70.061,0.008
heated,2349,200,3.8748,24.5,1.6,70.709,0.008
heated,1900,200,3.8394,31.3,1.6,67.626,0.005
heated,2008,200,3.8404,31.7,1.6,67.913,0.006
heated,2097,200,3.8434,31.4,1.7,67.412,0.004
heated,1964,200,3.7758,53.0,2.2,62.390,0.004
heated,1750,200,3.8563,25.5,1.3,68.441,0.002
heated,2000,200,3.8642,25.0,1.4,68.921,0.004
heated,1934,200,3.8667,24.0,1.4,69.183,0.003
heated,2110,200,3.8720,23.7,1.4,69.593,0.004
heated,2160,200,3.8720,24.0,1.4,69.592,0.004
heated,1750,200,3.8959,15.5,1.0,71.649,0.006
heated,1927,200,3.8980,16.2,1.1,71.923,0.005
heated,1865,200,3.9077,13.6,1.0,72.433,0.004
heated,1870,200,3.7770,51.86,2.2,62.362,0.003
heated,1928,200,3.7761,52.6,2.2,62.050,0.006
heated,1900,200,3.7770,52.1,2.2,62.368,0.006
heated,2223,200,3.8042,44.5,2.1,64.301,0.004
heated,2050,200,3.8066,42.6,2.0,64.369,0.004
heated,2064,200,3.8079,42.2,2.0,64.481,0.006
heated,1950,200,3.8077,41.5,1.9,64.394,0.007
heated,1908,200,3.7783,48.0,2.1,63.146,0.004
heated,2066,200,3.7905,48.4,2.2,62.866,0.006
heated,2067,200,3.7903,48.2,2.2,63.004,0.010
heated,2050,200,3.7902,48.2,2.2,63.151,0.006
heated,1966,200,3.7770,52.5,2.3,62.306,0.003
heated,1849,200,3.7773,51.6,2.3,62.204,0.003
heated,1980,200,3.8480,29.3,1.6,67.894,0.004
heated,1950,200,3.8507,28.3,1.5,68.242,0.006
heated,2040,200,3.8136,35.0,1.8,66.246,0.010
heated,1975,200,3.8138,35.0,1.8,66.025,0.008
heated,2250,200,3.8279,37.0,1.8,66.303,0.007
heated,2210,200,3.8344,34.8,1.7,66.468,0.005
heated,2320,200,3.8372,34.7,1.8,66.606,0.007
heated,2374,200,3.8401,34.2,1.8,66.782,0.011
heated,2315,200,3.8484,31.4,1.8,67.515,0.012
heated,2200,200,3.8064,43.6,2.1,64.274,0.005
ambient,300,,3.7919,36.2,1.1,63.687,0.004
ambient,300,,3.7835,39.2,1.2,62.663,0.003
ambient,300,,3.7689,44.7,1.4,61.778,0.003
ambient,300,,3.8276,24.3,0.7,66.118,0.004
ambient,300,,3.8438,19.5,0.6,67.608,0.002
ambient,300,,3.8572,15.7,0.5,68.798,0.002
ambient,300,,3.8679,12.9,0.4,69.696,0.004
ambient,300,,3.9191,0.8,,74.130,0.004
ambient,300,,3.8734,11.5,0.4,70.139,0.002
ambient,300,,,0.0,,74.744,0.010
ambient,300,,3.8594,15.1,0.5,69.182,0.008
ambient,300,,3.8492,17.9,0.5,68.392,0.003
ambient,300,,3.8334,22.6,0.7,66.874,0.006
ambient,300,,3.8126,29.1,0.9,65.168,0.003
ambient,300,,3.7994,33.5,1.0,63.786,0.003
ambient,300,,3.7971,34.3,1.1,63.891,0.008
ambient,300,,3.8386,20.0,0.6,67.226,0.003
ambient,300,,3.8388,21.0,0.7,67.332,0.005
ambient,300,,3.8203,26.6,0.8,65.637,0.002
ambient,300,,3.8187,27.1,0.8,65.544,0.006
