cod_id,temperature_k,lattice_parameter_a,conventional_cell_volume_a3
9006456,298,4.211,74.672
9006457,455,4.2181,75.050
9006458,710,4.2318,75.784
9006459,905,4.2483,76.674
9006460,1096,4.2576,77.178
9006461,1205,4.2665,77.663
9006462,1305,4.2703,77.871
9006463,1365,4.2736,78.052
9006464,1527,4.2820,78.513
9006465,1598,4.2924,79.086
9006466,1685,4.2993,79.468
9006467,1870,4.3089,80.002
9006468,1915,4.3141,80.292
9006469,2055,4.3272,81.025
9006470,2106,4.3305,81.211
9006471,2245,4.3425,81.888
9006472,2297,4.3481,82.205
9006473,2395,4.3554,82.620
9006474,2408,4.3564,82.677
9006475,2592,4.3741,83.689
9006476,2703,4.3842,84.270
9006477,2785,4.3915,84.691
9006478,2848,4.3971,85.016
9006479,2912,4.4041,85.422
9006480,2986,4.4112,85.836
