pressure_gpa,molar_volume_cm3_per_mol,volume_ratio,pressure_error_gpa,molar_volume_error_cm3_per_mol,pressure_digitization_uncertainty_gpa,molar_volume_digitization_uncertainty_cm3_per_mol
0.0000,11.253000,1.000000,,,1.5,0.04
62.9433,9.089552,0.807745,,,1.5,0.04
65.2482,8.943284,0.794747,,,1.5,0.04
81.5603,8.588060,0.763180,3.280,0.0746,1.5,0.04
83.3333,8.543284,0.759201,,,1.5,0.04
84.5745,8.516418,0.756813,,,1.5,0.04
92.3759,8.411940,0.747529,,,1.5,0.04
100.3546,8.179104,0.726838,4.167,0.0552,1.5,0.04
130.6738,7.782090,0.691557,3.457,0.0851,1.5,0.04
144.3262,7.614925,0.676702,4.521,0.0672,1.5,0.04
178.3688,7.298507,0.648583,3.280,0.0985,1.5,0.04
190.0709,7.208955,0.640625,4.433,0.0716,1.5,0.04
194.5035,7.176119,0.637707,,,1.5,0.04
200.1773,7.113433,0.632137,,,1.5,0.04
215.2482,6.964179,0.618873,4.078,0.1358,1.5,0.04
221.8085,6.916418,0.614629,4.521,0.1179,1.5,0.04
223.5816,6.877612,0.611180,,,1.5,0.04
