temperature_k,nacl_pressure_gpa,nacl_pressure_uncertainty_gpa,gold_pressure_gpa,gold_pressure_uncertainty_gpa,mgo_molar_volume_cm3_mol,mgo_molar_volume_uncertainty_cm3_mol
1100,0,,0,,11.63,
1100,2.81,0.09,3.79,0.08,11.39,0.01
1100,3.55,0.06,4.99,0.10,11.30,0.01
1100,4.50,0.03,5.94,0.15,11.24,0.02
1100,6.63,0.10,7.58,0.12,11.10,0.01
1100,8.89,0.19,9.79,0.20,10.97,0.02
1100,10.80,0.27,11.90,0.15,10.87,0.02
1100,12.29,0.18,13.69,0.21,10.76,0.03
1100,12.63,0.24,13.97,0.24,10.77,0.01
1100,15.03,0.26,16.34,0.14,10.59,0.03
1100,16.79,0.29,17.97,0.12,10.54,0.03
1100,19.37,0.29,20.77,0.27,10.40,0.02
1100,19.67,0.30,20.94,0.30,10.39,0.01
1100,21.20,0.27,22.64,0.29,10.33,0.02
1100,22.72,0.26,24.03,0.32,10.23,0.03
1100,24.02,0.30,25.51,0.35,10.19,0.02
