temperature_k,nacl_pressure_gpa,nacl_pressure_uncertainty_gpa,mgo_molar_volume_cm3_mol,mgo_molar_volume_uncertainty_cm3_mol
300,0,,11.26,
300,0.61,0.06,11.21,0.01
300,1.92,0.04,11.10,0.01
300,3.45,0.06,11.01,0.02
300,5.00,0.06,10.91,0.02
300,6.18,0.10,10.84,0.01
300,7.82,0.14,10.74,0.02
300,9.73,0.06,10.64,0.01
300,12.03,0.13,10.52,0.01
300,13.89,0.16,10.47,0.03
300,14.77,0.18,10.42,0.03
300,16.21,0.24,10.33,0.01
300,17.41,0.33,10.28,0.01
300,18.33,0.33,10.25,0.02
300,18.50,0.32,10.24,0.03
300,19.09,0.30,10.22,0.03
300,20.55,0.25,10.15,0.01
300,21.51,0.26,10.11,0.01
300,23.22,0.25,10.04,0.01
