temperature_k,nacl_pressure_gpa,nacl_pressure_uncertainty_gpa,gold_pressure_gpa,gold_pressure_uncertainty_gpa,mgo_molar_volume_cm3_mol,mgo_molar_volume_uncertainty_cm3_mol
300,0.09,0.05,0.03,0.05,11.25,0.01
300,0.08,0.02,0.26,0.08,11.26,0.01
300,1.95,0.05,1.55,0.47,11.18,0.01
300,2.10,0.18,1.96,0.41,11.19,0.01
300,2.05,0.17,2.08,0.20,11.16,0.02
300,4.29,0.30,3.85,0.26,11.06,0.02
300,4.37,0.27,4.13,0.25,11.07,0.01
300,4.76,0.20,4.56,0.30,11.06,0.01
300,6.25,0.20,5.76,0.35,10.96,0.02
300,6.92,0.30,6.83,0.28,10.89,0.03
300,11.03,0.29,10.28,0.30,10.66,0.03
300,15.15,0.31,15.22,0.10,10.48,0.02
300,18.90,0.28,19.11,0.55,10.37,0.05
300,21.88,0.25,21.70,0.40,10.16,0.06
300,23.53,0.37,24.47,0.47,10.12,0.01
300,27.62,0.61,28.32,0.88,10.01,0.08
300,30.40,0.56,30.56,0.36,9.90,0.03
300,32.24,0.95,33.35,0.56,9.84,0.04
300,33.29,1.07,34.51,0.61,9.80,0.02
300,,,37.40,0.52,9.70,0.03
300,,,41.12,0.86,9.58,0.04
300,,,45.68,1.12,9.47,0.05
300,,,49.24,0.55,9.37,0.04
300,,,52.55,1.23,9.29,0.03
300,,,58.33,0.89,9.15,0.05
300,,,61.53,1.02,9.07,0.05
300,,,65.32,1.28,8.97,0.05
