cod_id,heater_series,temperature_k,lattice_parameter_a,conventional_cell_volume_a3
9006747,IR_wire,298,4.210,74.618
9006748,IR_wire,421,4.216,74.938
9006749,IR_wire,505,4.222,75.258
9006750,IR_wire,591,4.226,75.472
9006751,IR_wire,694,4.232,75.794
9006752,IR_wire,790,4.237,76.063
9006753,IR_wire,874,4.244,76.441
9006754,IR_wire,964,4.249,76.711
9006755,IR_wire,1052,4.257,77.146
9006756,IR_wire,1120,4.261,77.363
9006757,IR_wire,1211,4.267,77.691
9006758,IR_wire,1281,4.276,78.183
9006759,IR_wire,1335,4.275,78.128
9006760,IR_wire,1446,4.282,78.513
9006761,IR_wire,1557,4.293,79.119
9006762,IR_wire,1738,4.303,79.674
9006763,IR_wire,1901,4.319,80.566
9006764,IR_wire,2036,4.326,80.958
9006765,IR_wire,2153,4.336,81.521
9006766,IR_wire,2262,4.343,81.916
9006767,IR_wire,2385,4.355,82.597
9006768,Re_wire,298,4.212,74.725
9006769,Re_wire,1474,4.281,78.458
9006770,Re_wire,1664,4.297,79.341
9006771,Re_wire,1773,4.305,79.785
9006772,Re_wire,1873,4.310,80.063
9006773,Re_wire,1973,4.322,80.734
9006774,Re_wire,2073,4.324,80.846
9006775,Re_wire,2273,4.343,81.916
9006776,Re_wire,2373,4.352,82.426
9006777,Re_wire,2473,4.358,82.768
9006778,Re_wire,2573,4.371,83.511
9006779,Re_wire,2673,4.381,84.085
9006780,Re_wire,2773,4.396,84.952
9006781,Re_wire,2873,4.403,85.358
9006782,Re_wire,2973,4.408,85.649
