run,pressure_marker,ruby_r1_relative_shift,reported_pressure_gpa,reported_pressure_standard_deviation_gpa,unit_cell_volume_a3,unit_cell_volume_standard_deviation_a3,zha_2000_mgo_scale_pressure_gpa
ambient,ambient,,0.0001,,74.698,0.003,
1,ruby_mao_1986,0.00439,8.5,0.1,71.184,0.037,8.5
1,ruby_mao_1986,0.00626,12.2,0.2,69.812,0.036,12.4
1,ruby_mao_1986,0.00781,15.3,0.2,68.759,0.033,15.7
1,ruby_mao_1986,0.00929,18.2,0.1,67.911,0.032,18.5
1,ruby_mao_1986,0.01182,23.4,0.1,66.483,0.031,23.6
1,ruby_mao_1986,0.01407,28.1,0.1,65.279,0.033,28.3
1,ruby_mao_1986,0.01495,29.9,0.1,64.813,0.032,30.3
1,ruby_mao_1986,0.01712,34.5,0.1,63.631,0.037,35.5
1,ruby_mao_1986,0.01858,37.6,0.1,62.882,0.037,39.1
1,ruby_mao_1986,0.01983,40.4,0.1,62.287,0.036,42.0
1,ruby_mao_1986,0.02100,42.9,0.1,61.744,0.030,44.8
1,ruby_mao_1986,0.02281,46.9,0.1,61.029,0.030,48.7
1,ruby_mao_1986,0.02409,49.7,0.1,60.426,0.029,52.1
1,ruby_mao_1986,0.02556,53.0,0.1,59.931,0.029,55.1
1,ruby_mao_1986,0.02694,56.1,0.1,59.430,0.029,58.1
1,ruby_mao_1986,0.02841,59.5,0.1,58.867,0.028,61.7
1,ruby_mao_1986,0.02984,62.8,0.1,58.335,0.028,65.3
1,ruby_mao_1986,0.03103,65.6,0.2,57.918,0.028,68.2
1,ruby_mao_1986,0.03220,68.3,0.2,57.480,0.027,71.3
2,ruby_mao_1986,0.00340,6.5,0.1,71.896,0.007,6.6
2,ruby_mao_1986,0.00436,8.4,0.1,71.169,0.007,8.6
2,ruby_mao_1986,0.00591,11.5,0.1,70.070,0.006,11.7
2,ruby_mao_1986,0.00683,13.3,0.1,69.472,0.006,13.5
2,ruby_mao_1986,0.00948,18.6,0.2,67.798,0.006,18.9
2,ruby_mao_1986,0.01144,22.6,0.2,66.655,0.007,23.0
2,ruby_mao_1986,0.01374,27.4,0.1,65.404,0.006,27.8
3,ruby_mao_1986,0.00228,4.3,0.1,72.788,0.007,4.4
3,ruby_mao_1986,0.00413,7.9,0.1,71.229,0.007,8.4
3,ruby_mao_1986,0.00598,11.6,0.1,69.907,0.006,12.1
3,ruby_mao_1986,0.00907,17.8,0.1,67.977,0.007,18.3
3,ruby_mao_1986,0.01207,23.9,0.1,66.270,0.006,24.4
3,ruby_mao_1986,0.01529,30.6,0.1,64.535,0.006,31.5
3,ruby_mao_1986,0.01804,36.5,0.1,63.176,0.006,37.6
3,ruby_mao_1986,0.01974,40.1,0.1,62.412,0.005,41.4
3,ruby_mao_1986,0.02140,43.7,0.1,61.548,0.005,45.9
3,ruby_mao_1986,0.02277,46.8,0.1,61.031,0.005,48.7
3,ruby_mao_1986,0.02469,51.0,0.1,60.252,0.005,53.2
3,ruby_mao_1986,0.02660,55.3,0.3,59.593,0.005,57.1
3,ruby_mao_1986,0.02795,58.4,0.3,59.084,0.005,60.3
3,ruby_mao_1986,0.02990,62.9,0.1,58.339,0.007,65.3
3,ruby_mao_1986,0.03146,66.5,0.1,57.744,0.005,69.4
3,ruby_mao_1986,0.03275,69.6,0.2,57.271,0.005,72.8
3,ruby_mao_1986,0.03487,74.6,0.4,56.471,0.005,78.9
3,ruby_mao_1986,0.03712,80.0,1.3,55.834,0.005,84.0
3,ruby_mao_1986,0.03955,85.0,0.1,55.110,0.005,90.1
3,diamond_raman_sun_2005,,89.0,2.0,54.628,0.005,94.4
3,diamond_raman_sun_2005,,96.2,2.0,53.719,0.004,102.9
3,diamond_raman_sun_2005,,99.6,2.0,53.361,0.004,106.4
3,diamond_raman_sun_2005,,102.4,2.0,53.067,0.004,109.4
3,diamond_raman_sun_2005,,106.3,2.0,52.639,0.004,113.8
3,diamond_raman_sun_2005,,111.0,2.0,52.239,0.004,118.1
