reported_pressure_gpa,reported_pressure_standard_deviation_gpa,unit_cell_volume_a3,unit_cell_volume_standard_deviation_a3
3.6,0.1,73.100,0.007
7.4,0.1,71.791,0.007
10.6,0.1,70.606,0.006
13.5,0.1,69.620,0.006
16.2,0.1,68.695,0.007
18.9,0.1,67.858,0.007
22.8,0.1,66.847,0.007
26.9,0.1,65.785,0.006
31.1,0.1,64.735,0.006
36.6,0.6,63.546,0.006
41.4,0.4,62.573,0.007
49.1,0.1,61.258,0.007
52.2,0.2,60.709,0.006
53.5,0.4,60.493,0.006
55.9,0.8,60.062,0.006
58.1,0.1,59.617,0.007
61.1,0.1,59.257,0.007
63.5,0.2,58.830,0.007
65.9,0.1,58.485,0.007
68.7,0.2,58.247,0.006
71.2,0.2,57.737,0.006
73.9,0.3,57.335,0.006
76.2,0.3,57.116,0.006
80.1,0.1,56.609,0.006
83.5,0.3,56.107,0.006
86.6,0.1,55.792,0.006
