experimental_path,volume_ratio,density_g_cm3,density_standard_deviation_g_cm3,p_wave_velocity_km_s,p_wave_velocity_standard_deviation_km_s,s_wave_velocity_km_s,s_wave_velocity_standard_deviation_km_s,adiabatic_bulk_modulus_gpa,adiabatic_bulk_modulus_standard_deviation_gpa,shear_modulus_gpa,shear_modulus_standard_deviation_gpa,calculated_absolute_pressure_gpa,calculated_absolute_pressure_standard_deviation_gpa
ambient,1.000,3.566,0.005,9.74,0.01,6.00,0.01,,,,,,
initial_compression,0.990,3.603,0.006,9.81,0.01,6.08,0.01,169.2,1.2,133.2,0.5,1.70,0.09
initial_compression,0.978,3.647,0.006,9.97,0.01,6.15,0.01,178.6,1.3,137.9,0.5,3.78,0.10
initial_compression,0.970,3.675,0.006,10.08,0.01,6.19,0.01,185.7,1.4,140.8,0.5,5.17,0.09
initial_compression,0.962,3.696,0.006,10.19,0.02,6.28,0.01,189.4,1.4,145.8,0.5,6.23,0.14
initial_compression,0.954,3.736,0.007,10.27,0.02,6.30,0.01,196.3,1.4,148.3,0.5,8.29,0.19
initial_compression,0.952,3.747,0.006,10.35,0.02,6.33,0.01,201.2,1.4,150.1,0.5,8.89,0.13
initial_compression,0.942,3.786,0.006,10.46,0.02,6.40,0.01,207.5,1.5,155.1,0.5,10.95,0.15
decompression_after_annealing,0.951,3.748,0.006,10.36,0.02,6.34,0.01,201.4,1.4,150.7,0.5,8.96,0.14
decompression_after_annealing,0.954,3.738,0.006,10.31,0.02,6.32,0.01,198.3,1.4,149.3,0.5,8.42,0.13
decompression_after_annealing,0.959,3.719,0.006,10.26,0.02,6.28,0.01,195.9,1.4,146.7,0.5,7.47,0.11
decompression_after_annealing,0.963,3.701,0.006,10.17,0.02,6.23,0.01,191.3,1.4,143.6,0.5,6.54,0.11
decompression_after_annealing,0.968,3.683,0.006,10.13,0.02,6.24,0.01,186.7,1.3,143.2,0.5,5.63,0.11
decompression_after_annealing,0.968,3.685,0.006,10.14,0.02,6.24,0.01,187.6,1.4,143.4,0.5,5.73,0.09
decompression_after_annealing,0.978,3.647,0.006,9.98,0.02,6.19,0.01,176.9,1.3,139.7,0.5,3.86,0.10
decompression_after_annealing,0.970,3.676,0.006,10.04,0.02,6.22,0.01,180.9,1.4,142.2,0.5,5.24,0.10
decompression_after_annealing,0.982,3.631,0.006,9.95,0.02,6.16,0.01,175.8,1.3,137.8,0.5,3.05,0.08
decompression_after_annealing,0.987,3.615,0.006,9.87,0.02,6.13,0.01,171.0,1.3,135.8,0.5,2.29,0.08
