compression_ambient,temperature_k,pressure_gpa,source_table
0.02,300,2.89,II
0.02,500,3.91,II
0.02,1000,7.03,II
0.02,1500,10.33,II
0.02,2000,13.69,II
0.02,2500,17.07,II
0.02,3000,20.46,II
0.02,3500,23.86,II
0.02,4000,27.26,II
0.04,300,6.73,II
0.04,500,7.73,II
0.04,1000,10.80,II
0.04,1500,14.08,II
0.04,2000,17.40,II
0.04,2500,20.76,II
0.04,3000,24.12,II
0.04,3500,27.48,II
0.04,4000,30.86,II
0.06,300,11.02,II
0.06,500,12.00,II
0.06,1000,15.03,II
0.06,1500,18.28,II
0.06,2000,21.59,II
0.06,2500,24.92,II
0.06,3000,28.26,II
0.06,3500,31.61,II
0.06,4000,34.96,II
0.08,300,15.82,II
0.08,500,16.77,II
0.08,1000,19.78,II
0.08,1500,23.00,II
0.08,2000,26.29,II
0.08,2500,29.61,II
0.08,3000,32.93,II
0.08,3500,36.26,II
0.08,4000,39.60,II
0.10,300,21.17,II
0.10,500,22.11,II
0.10,1000,25.09,II
0.10,1500,28.30,II
0.10,2000,31.58,II
0.10,2500,34.88,II
0.10,3000,38.19,II
0.10,3500,41.52,II
0.10,4000,44.84,II
0.12,300,27.15,II
0.12,500,28.07,II
0.12,1000,31.03,II
0.12,1500,34.23,II
0.12,2000,37.50,II
0.12,2500,40.80,II
0.12,3000,44.11,II
0.12,3500,47.43,II
0.12,4000,50.75,II
0.14,300,33.84,II
0.14,500,34.74,II
0.14,1000,37.68,II
0.14,1500,40.87,II
0.14,2000,44.14,II
0.14,2500,47.44,II
0.14,3000,50.75,II
0.14,3500,54.07,II
0.14,4000,57.39,II
0.16,300,41.32,II
0.16,500,42.19,II
0.16,1000,45.11,II
0.16,1500,48.31,II
0.16,2000,51.58,II
0.16,2500,54.88,II
0.16,3000,58.19,II
0.16,3500,61.52,II
0.16,4000,64.85,II
0.18,300,49.67,II
0.18,500,50.53,II
0.18,1000,53.44,II
0.18,1500,56.63,II
0.18,2000,59.91,II
0.18,2500,63.22,II
0.18,3000,66.54,II
0.18,3500,69.88,II
0.18,4000,73.22,II
0.20,300,59.02,II
0.20,500,59.86,II
0.20,1000,62.76,II
0.20,1500,65.96,II
0.20,2000,69.24,II
0.20,2500,72.56,II
0.20,3000,75.90,II
0.20,3500,79.25,II
0.20,4000,82.61,II
0.22,300,69.49,II
0.22,500,70.31,II
0.22,1000,73.20,II
0.22,1500,76.41,II
0.22,2000,79.71,II
0.22,2500,83.04,II
0.22,3000,86.40,II
0.22,3500,89.77,II
0.22,4000,93.14,II
0.24,300,81.22,II
0.24,500,82.03,II
0.24,1000,84.90,II
0.24,1500,88.12,II
0.24,2000,91.44,II
0.24,2500,94.80,II
0.24,3000,98.18,II
0.24,3500,101.57,II
0.24,4000,104.96,II
0.25,300,87.61,II
0.25,500,88.41,II
0.25,1000,91.28,II
0.25,1500,94.51,II
0.25,2000,97.84,II
0.25,2500,101.21,II
0.25,3000,104.60,II
0.25,3500,108.00,II
0.25,4000,111.41,II
0.26,300,94.38,II
0.26,500,95.17,II
0.26,1000,98.04,II
0.26,1500,101.28,II
0.26,2000,104.61,II
0.26,2500,108.00,II
0.26,3000,111.40,II
0.26,3500,114.81,II
0.26,4000,118.24,II
0.27,300,101.55,II
0.27,500,102.33,II
0.27,1000,105.20,II
0.27,1500,108.45,II
0.27,2000,111.80,II
0.27,2500,115.19,II
0.27,3000,118.61,II
0.27,3500,122.04,II
0.27,4000,125.48,II
0.28,300,109.15,II
0.28,500,109.93,II
0.28,1000,112.80,II
0.28,1500,116.05,II
0.28,2000,119.41,II
0.28,2500,122.82,II
0.28,3000,126.26,II
0.28,3500,129.70,II
0.28,4000,133.16,II
0.29,300,117.22,II
0.29,500,117.98,II
0.29,1000,120.85,II
0.29,1500,124.11,II
0.29,2000,127.49,II
0.29,2500,130.92,II
0.29,3000,134.36,II
0.29,3500,137.83,II
0.29,4000,141.30,II
0.30,300,125.77,II
0.30,500,126.53,II
0.30,1000,129.40,II
0.30,1500,132.67,II
0.30,2000,136.06,II
0.30,2500,139.50,II
0.30,3000,142.97,II
0.30,3500,146.45,II
0.30,4000,149.94,II
0.31,300,134.85,II
0.31,500,135.60,II
0.31,1000,138.46,II
0.31,1500,141.75,II
0.31,2000,145.16,II
0.31,2500,148.62,II
0.31,3000,152.10,II
0.31,3500,155.60,II
0.31,4000,159.11,II
0.32,300,144.49,II
0.32,500,145.23,II
0.32,1000,148.09,II
0.32,1500,151.39,II
0.32,2000,154.81,II
0.32,2500,158.29,II
0.32,3000,161.80,II
0.32,3500,165.32,II
0.32,4000,168.84,II
0.33,300,154.73,II
0.33,500,155.46,II
0.33,1000,158.32,II
0.33,1500,161.63,II
0.33,2000,165.07,II
0.33,2500,168.57,II
0.33,3000,172.09,II
0.33,3500,175.63,II
0.33,4000,179.18,II
0.34,300,165.60,II
0.34,500,166.33,II
0.34,1000,169.19,II
0.34,1500,172.51,II
0.34,2000,175.97,II
0.34,2500,179.49,II
0.34,3000,183.03,II
0.34,3500,186.59,II
0.34,4000,190.17,II
0.35,300,177.16,II
0.35,500,177.88,II
0.35,1000,180.74,II
0.35,1500,184.08,II
0.35,2000,187.56,II
0.35,2500,191.09,II
0.35,3000,194.66,II
0.35,3500,198.25,II
0.35,4000,201.84,II
0.36,300,189.46,II
0.36,500,190.17,II
0.36,1000,193.02,II
0.36,1500,196.38,II
0.36,2000,199.88,II
0.36,2500,203.44,II
0.36,3000,207.03,II
0.36,3500,210.64,II
0.36,4000,214.26,II
