shot_id,initial_density_g_cm3,shock_velocity_km_s,particle_velocity_km_s
8c-844,3.584,7.574,0.695
8c-845,3.585,10.760,3.121
8c-850,3.585,10.442,2.848
8c-862,3.585,9.985,2.383
8c-863,3.585,9.968,2.467
8c-864,3.585,9.785,2.353
8c-868,3.585,9.100,1.813
8c-883,3.585,10.187,2.592
8c-884,3.585,9.317,1.967
8c-885,3.585,10.063,2.542
8c-886,3.585,8.878,1.591
8c-889,3.585,10.520,2.918
8c-892,3.585,8.953,1.554
8c-984,3.585,8.807,1.465
8c1010,3.585,7.522,0.743
8c1011,3.585,8.034,1.001
8c1015,3.585,9.648,2.172
8c1027,3.585,10.802,3.144
8c1028,3.585,9.993,2.436
8c1417,3.585,7.450,0.740
8c1418,3.585,7.830,0.959
8c1426,3.585,7.563,0.740
8c1428,3.567,8.045,1.082
8c1431,3.585,8.450,1.476
