pressure_gpa,temperature_k,volume_ratio,row_kind,comparison_source
0,300,1.0000,observed,Dubrovinsky_and_Saxena_1997
0,600,1.0118,observed,Dubrovinsky_and_Saxena_1997
0,900,1.0246,observed,Dubrovinsky_and_Saxena_1997
0,1200,1.0383,observed,Dubrovinsky_and_Saxena_1997
0,1500,1.0533,observed,Dubrovinsky_and_Saxena_1997
0,2000,1.0812,observed,Dubrovinsky_and_Saxena_1997
0,2500,1.1138,observed,Dubrovinsky_and_Saxena_1997
0,3000,1.1520,observed,Dubrovinsky_and_Saxena_1997
0,300,1.0000,md,present_study
0,600,1.0108,md,present_study
0,900,1.0241,md,present_study
0,1200,1.0383,md,present_study
0,1500,1.0544,md,present_study
0,2000,1.0834,md,present_study
0,2500,1.1169,md,present_study
0,3000,1.1558,md,present_study
2,300,0.9877,observed,Duffy_et_al_1995
2,300,0.9879,md,present_study
2,600,0.9979,md,present_study
2,900,1.0103,md,present_study
2,1200,1.0235,md,present_study
2,1500,1.0383,md,present_study
2,2000,1.0647,md,present_study
2,2500,1.0945,md,present_study
2,3000,1.1285,md,present_study
5,300,0.9706,observed,Duffy_et_al_1995
5,300,0.9711,md,present_study
5,600,0.9801,md,present_study
5,900,0.9913,md,present_study
5,1200,1.0032,md,present_study
5,1500,1.0164,md,present_study
5,2000,1.0397,md,present_study
5,2500,1.0654,md,present_study
5,3000,1.0941,md,present_study
10,300,0.9452,observed,Duffy_et_al_1995
10,300,0.9459,md,present_study
10,600,0.9537,md,present_study
10,900,0.9633,md,present_study
10,1200,0.9735,md,present_study
10,1500,0.9847,md,present_study
10,2000,1.0042,md,present_study
10,2500,1.0252,md,present_study
10,3000,1.0481,md,present_study
20,300,0.9029,observed,Duffy_et_al_1995
20,300,0.9038,md,present_study
20,600,0.9096,md,present_study
20,900,0.9171,md,present_study
20,1200,0.9251,md,present_study
20,1500,0.9337,md,present_study
20,2000,0.9484,md,present_study
20,2500,0.9641,md,present_study
20,3000,0.9805,md,present_study
30,300,0.8685,observed,Duffy_et_al_1995
30,300,0.8692,md,present_study
30,600,0.8738,md,present_study
30,900,0.8799,md,present_study
30,1200,0.8865,md,present_study
30,1500,0.8934,md,present_study
30,2000,0.9054,md,present_study
30,2500,0.9180,md,present_study
30,3000,0.9310,md,present_study
50,300,0.8150,observed,Duffy_et_al_1995
50,300,0.8148,md,present_study
50,600,0.8178,md,present_study
50,900,0.8222,md,present_study
50,1200,0.8271,md,present_study
50,1500,0.8321,md,present_study
50,2000,0.8409,md,present_study
50,2500,0.8501,md,present_study
50,3000,0.8593,md,present_study
75,300,0.7652,observed,Duffy_et_al_1995
75,300,0.7636,md,present_study
75,600,0.7656,md,present_study
75,900,0.7689,md,present_study
75,1200,0.7725,md,present_study
75,1500,0.7762,md,present_study
75,2000,0.7828,md,present_study
75,2500,0.7896,md,present_study
75,3000,0.7964,md,present_study
100,300,0.7269,observed,Duffy_et_al_1995
100,300,0.7238,md,present_study
100,600,0.7252,md,present_study
100,900,0.7278,md,present_study
100,1200,0.7306,md,present_study
100,1500,0.7335,md,present_study
100,2000,0.7386,md,present_study
100,2500,0.7439,md,present_study
100,3000,0.7493,md,present_study
