source_order,shot,starting_material,initial_density_g_cm3,initial_density_uncertainty_g_cm3,flyer_driver_material,flyer_velocity_km_s,flyer_velocity_uncertainty_km_s,shock_velocity_km_s,shock_velocity_uncertainty_km_s,elastic_precursor_velocity_km_s,elastic_precursor_velocity_uncertainty_km_s,second_wave_velocity_km_s,second_wave_velocity_uncertainty_km_s,pressure_gpa,pressure_uncertainty_gpa,shock_density_g_cm3,shock_density_uncertainty_g_cm3,candidate_melt_constraint
1,315,glass,2.712,0.005,Al,4.51,0.01,7.24,0.07,,,,,47.1,0.7,4.06,0.03,0
2,313,glass,2.743,0.005,Cu,5.05,0.01,8.53,0.06,,,,,83.1,0.6,4.70,0.03,0
3,312,glass,2.740,0.005,Cu,6.07,0.01,9.49,0.13,,,,,110.0,1.6,4.94,0.06,0
4,328,enstatite,3.195,0.005,Al,4.16,0.01,,,9.30,0.30,7.50,0.12,48.2,2.1,4.37,0.07,0
5,320,enstatite,3.121,0.005,Al,4.56,0.01,,,9.35,0.25,7.78,0.16,53.9,2.0,4.37,0.07,0
6,327,enstatite,3.209,0.005,Al,5.34,0.01,,,8.64,0.35,8.22,0.04,68.1,2.8,4.68,0.11,0
7,317,enstatite,3.167,0.005,Cu,4.62,0.01,9.13,0.06,,,,,88.2,0.7,4.75,0.02,0
8,326,enstatite,3.166,0.005,Cu,5.44,0.01,9.65,0.04,,,,,110.0,0.6,5.05,0.02,0
9,316,enstatite,3.227,0.005,Cu,5.71,0.01,10.06,0.07,,,,,121.4,1.0,5.14,0.03,0
10,321,enstatite,3.197,0.005,Ta,5.98,0.01,10.79,0.03,,,,,149.4,0.7,5.34,0.02,0
11,324,enstatite,3.173,0.005,Ta,6.52,0.01,11.34,0.06,,,,,169.8,1.1,5.44,0.03,0
12,318,enstatite,3.225,0.005,Ta,6.71,0.01,11.16,0.09,,,,,175.3,1.5,5.72,0.04,1
13,322,enstatite,3.192,0.005,Ta,7.22,0.01,11.69,0.05,,,,,195.5,1.0,5.79,0.02,1
14,319,enstatite,3.242,0.005,Ta,7.38,0.01,11.99,0.19,,,,,206.4,3.5,5.82,0.08,1
