source_order,pressure_original_gpa,pressure_original_uncertainty_gpa,mgsio3_lattice_a_angstrom,mgsio3_lattice_b_angstrom,mgsio3_lattice_c_angstrom,mgsio3_unit_cell_volume_a3,mgsio3_unit_cell_volume_uncertainty_a3,temperature_k,mgo_lattice_a_angstrom,pressure_scale_note
1,111.1,0.5,2.473584,8.105783,6.134658,123.00,0.08,300,3.7522,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
2,114.8,0.5,2.467492,8.089385,6.127964,122.32,0.07,300,3.7437,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
3,115.4,0.5,2.468392,8.080647,6.124279,122.16,0.07,300,3.7423,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
4,117.4,0.5,2.466453,8.071189,6.118184,121.80,0.10,300,3.7380,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
5,118.5,0.5,2.466175,8.060682,6.116515,121.59,0.05,300,3.7355,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
6,118.2,0.5,2.465687,8.063539,6.114923,121.58,0.05,300,3.7361,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
7,117.9,0.5,2.467123,8.065793,6.116477,121.71,0.06,300,3.7368,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
8,121.7,0.5,2.462973,8.047212,6.107080,121.04,0.03,300,3.7285,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
9,123.0,0.5,2.460243,8.042772,6.102291,120.75,0.04,300,3.7258,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
10,123.3,0.5,2.460619,8.039013,6.103719,120.74,0.08,300,3.7252,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
11,123.5,0.5,2.461332,8.037754,6.100445,120.69,0.08,300,3.7248,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
12,123.8,0.5,2.460076,8.039284,6.101700,120.67,0.04,300,3.7240,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
13,124.0,0.5,2.460758,8.035878,6.099467,120.61,0.04,300,3.7236,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
14,127.5,0.5,2.455981,8.018187,6.091888,119.96,0.03,300,3.7163,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
15,129.5,0.5,2.454011,8.009941,6.086818,119.65,0.04,300,3.7122,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
16,129.5,0.5,2.452957,8.010430,6.089190,119.65,0.03,300,3.7122,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
17,128.6,0.5,2.455264,8.018196,6.093702,119.97,0.05,300,3.7140,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
18,129.1,0.5,2.456719,8.004843,6.090545,119.77,0.04,300,3.7129,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
19,129.4,0.5,2.454427,8.010681,6.092878,119.80,0.04,300,3.7123,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
20,131.4,0.5,2.453198,7.994507,6.084594,119.33,0.04,300,3.7082,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
21,131.6,0.5,2.450566,7.996241,6.089450,119.32,0.05,300,3.7079,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
22,132.0,0.5,2.449594,7.995782,6.086390,119.21,0.05,300,3.7070,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
23,132.4,0.5,2.447289,8.004339,6.083857,119.18,0.04,300,3.7063,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
24,132.4,0.5,2.449522,7.993332,6.083714,119.12,0.04,300,3.7063,Recalculate from measured MgO volume with Sokolova et al. (2013) scale
