pressure_gpa,pressure_uncertainty_gpa,a_a,b_a,c_a,volume_a3,volume_uncertainty_a3,temperature_k,temperature_uncertainty_k,mgo_a_a
111.1,0.5,2.473584,8.105783,6.134658,123.00,0.08,300,,3.7522
114.8,0.5,2.467492,8.089385,6.127964,122.32,0.07,300,,3.7437
115.4,0.5,2.468392,8.080647,6.124279,122.16,0.07,300,,3.7423
117.4,0.5,2.466453,8.071189,6.118184,121.80,0.10,300,,3.7380
118.5,0.5,2.466175,8.060682,6.116515,121.59,0.05,300,,3.7355
118.2,0.5,2.465687,8.063539,6.114923,121.58,0.05,300,,3.7361
117.9,0.5,2.467123,8.065793,6.116477,121.71,0.06,300,,3.7368
121.7,0.5,2.462973,8.047212,6.107080,121.04,0.03,300,,3.7285
123.0,0.5,2.460243,8.042772,6.102291,120.75,0.04,300,,3.7258
123.3,0.5,2.460619,8.039013,6.103719,120.74,0.08,300,,3.7252
123.5,0.5,2.461332,8.037754,6.100445,120.69,0.08,300,,3.7248
123.8,0.5,2.460076,8.039284,6.101700,120.67,0.04,300,,3.7240
124.0,0.5,2.460758,8.035878,6.099467,120.61,0.04,300,,3.7236
127.5,0.5,2.455981,8.018187,6.091888,119.96,0.03,300,,3.7163
129.5,0.5,2.454011,8.009941,6.086818,119.65,0.04,300,,3.7122
129.5,0.5,2.452957,8.010430,6.089190,119.65,0.03,300,,3.7122
128.6,0.5,2.455264,8.018196,6.093702,119.97,0.05,300,,3.7140
129.1,0.5,2.456719,8.004843,6.090545,119.77,0.04,300,,3.7129
129.4,0.5,2.454427,8.010681,6.092878,119.80,0.04,300,,3.7123
131.4,0.5,2.453198,7.994507,6.084594,119.33,0.04,300,,3.7082
131.6,0.5,2.450566,7.996241,6.089450,119.32,0.05,300,,3.7079
132.0,0.5,2.449594,7.995782,6.086390,119.21,0.05,300,,3.7070
132.4,0.5,2.447289,8.004339,6.083857,119.18,0.04,300,,3.7063
132.4,0.5,2.449522,7.993332,6.083714,119.12,0.04,300,,3.7063
121.2,1.3,2.467457,8.092840,6.128891,122.39,0.05,1435,100,3.7448
121.4,1.0,2.469872,8.089529,6.128890,122.46,0.08,1556,60,3.7462
124.5,1.3,2.467560,8.071865,6.120382,121.90,0.06,1511,100,3.7387
130.0,1.3,2.461717,8.044656,6.106192,120.92,0.04,1569,100,3.7275
135.8,1.1,2.454950,8.013754,6.090868,119.83,0.05,1468,60,3.7139
134.7,1.0,2.454899,8.019738,6.095531,120.01,0.05,1508,60,3.7167
137.5,0.9,2.452777,8.000587,6.093049,119.57,0.04,1496,50,3.7107
122.5,1.0,2.470041,8.086730,6.134717,122.54,0.04,1663,50,3.7456
124.0,1.1,2.469941,8.091329,6.129780,122.50,0.07,1872,70,3.7455
125.2,1.2,2.468495,8.081565,6.125894,122.21,0.08,1857,80,3.7426
125.9,1.3,2.470325,8.082417,6.123755,122.27,0.07,2015,90,3.7435
127.8,1.4,2.463649,8.087713,6.124510,122.03,0.03,2040,100,3.7396
134.0,1.7,2.461169,8.046782,6.106779,120.94,0.03,2059,140,3.7265
134.3,1.3,2.460057,8.042340,6.103836,120.76,0.04,1973,90,3.7244
139.1,1.2,2.454031,8.018744,6.093710,119.91,0.04,1984,80,3.7146
141.1,1.1,2.453369,7.999222,6.089490,119.51,0.04,2023,60,3.7111
134.0,1.8,2.461477,8.047301,6.107495,120.98,0.05,2134,150,3.7275
137.2,0.9,2.455503,8.026113,6.099758,120.21,0.05,2082,50,3.7199
143.7,1.2,2.453575,7.999313,6.093167,119.59,0.04,2438,80,3.7119
128.7,1.3,2.469960,8.090684,6.131126,122.52,0.05,2455,100,3.7442
130.2,1.7,2.469278,8.083961,6.127606,122.32,0.03,2511,140,3.7418
137.3,1.8,2.461784,8.047246,6.106985,120.98,0.03,2535,150,3.7266
140.4,1.3,2.456805,8.033451,6.103889,120.47,0.04,2500,100,3.7197
144.5,1.9,2.453780,8.001490,6.096827,119.70,0.04,2520,160,3.7110
