source_order,run,heating_method,pressure_mgo_gpa,pressure_mgo_uncertainty_gpa,temperature_k,temperature_uncertainty_description,ppv_a_angstrom,ppv_a_uncertainty_angstrom,ppv_b_angstrom,ppv_b_uncertainty_angstrom,ppv_c_angstrom,ppv_c_uncertainty_angstrom,ppv_volume_a3,ppv_volume_uncertainty_a3,pv_a_angstrom,pv_a_uncertainty_angstrom,pv_b_angstrom,pv_b_uncertainty_angstrom,pv_c_angstrom,pv_c_uncertainty_angstrom,pv_volume_a3,pv_volume_uncertainty_a3,mgo_a_angstrom,nacl_a_angstrom,pressure_nacl_gpa,ppv_fit_included,exclusion_note
1,1,external,124.4,,300,<5 K,2.4652,0.0017,8.0309,0.0082,6.1061,0.0019,120.89,0.15,4.2932,0.0105,4.5500,0.0187,6.2814,0.0189,122.70,0.69,3.7228,2.6838,125.6,true,
2,1,external,122.4,,398,<5 K,2.4712,0.0016,8.0349,0.0074,6.1126,0.0017,121.37,0.14,4.3074,0.0071,4.5436,0.0124,6.2967,0.0127,123.23,0.47,3.7282,2.6885,123.6,true,
3,1,external,121.0,,460,<5 K,2.4695,0.0015,8.0537,0.0074,6.1196,0.0017,121.71,0.14,4.3037,0.0094,4.5545,0.0166,6.2987,0.0169,123.46,0.62,3.7321,2.6915,122.4,true,
4,1,external,119.9,,548,<5 K,2.4773,0.0020,8.0446,0.0093,6.1311,0.0022,122.19,0.18,4.3055,0.0126,4.5643,0.0228,6.3116,0.0231,124.03,0.85,3.7358,2.6972,120.0,true,
5,1,external,119.5,,645,<5 K,2.4772,0.0018,8.0561,0.0084,6.1343,0.0020,122.42,0.16,4.3087,0.0111,4.5682,0.0201,6.3106,0.0203,124.21,0.75,3.7383,2.7045,117.0,true,
6,1,external,119.7,,741,<5 K,2.4733,0.0020,8.0704,0.0094,6.1333,0.0022,122.42,0.18,4.3142,0.0107,4.5587,0.0192,6.3105,0.0195,124.11,0.72,3.7397,2.7057,116.9,true,
7,1,external,121.0,,832,<5 K,2.4781,0.0016,8.0550,0.0077,6.1325,0.0018,122.41,0.15,4.3127,0.0099,4.5617,0.0177,6.3160,0.0180,124.26,0.66,3.7384,2.7031,118.5,true,
8,2,external,129.7,,300,<5 K,2.4592,0.0034,8.0053,0.0160,6.0963,0.0037,120.02,0.30,4.2853,0.0076,4.5411,0.0136,6.2666,0.0138,121.95,0.50,3.7118,2.6801,127.4,true,
9,2,external,127.1,,467,<5 K,2.4659,0.0032,8.0133,0.0150,6.1053,0.0035,120.64,0.28,4.2945,0.0068,4.5497,0.0121,6.2743,0.0123,122.59,0.45,3.7192,2.6875,124.4,true,
10,2,external,125.1,,589,<5 K,2.4674,0.0027,8.0357,0.0130,6.1094,0.0030,121.13,0.25,4.3015,0.0074,4.5511,0.0131,6.2861,0.0133,123.06,0.49,3.7251,2.6931,122.1,true,
11,2,external,123.8,,716,<5 K,2.4683,0.0034,8.0539,0.0162,6.1144,0.0038,121.55,0.31,4.3063,0.0080,4.5551,0.0141,6.2934,0.0143,123.45,0.53,3.7301,2.6998,119.5,true,
12,3,external,121.6,,300,<5 K,2.4695,0.0012,8.0519,0.0039,6.1106,0.0016,121.50,0.09,,,,,,,,,3.7288,,,true,
13,3,external,118.8,,439,<5 K,2.4712,0.0007,8.0748,0.0022,6.1189,0.0009,122.10,0.05,,,,,,,,,3.7365,,,true,
14,3,external,117.2,,530,<5 K,2.4750,0.0011,8.0803,0.0033,6.1305,0.0014,122.60,0.08,,,,,,,,,3.7415,,,true,
15,3,external,117.1,,622,<5 K,2.4771,0.0011,8.0907,0.0035,6.1315,0.0015,122.88,0.08,,,,,,,,,3.7432,,,true,
16,Hirose-2006,laser,119.1,1.9,2080,10% (table footnote); text describes about 200 K,2.4790,0.0021,8.1514,0.0104,6.1506,0.0024,124.29,0.20,4.3671,0.0102,4.5554,0.0143,6.3431,0.0135,126.19,0.56,3.7683,,,true,
17,Hirose-2006,laser,118.6,1.9,2070,10% (table footnote); text describes about 200 K,2.4802,0.0029,8.1510,0.0140,6.1489,0.0032,124.31,0.27,4.3708,0.0092,4.5519,0.0127,6.3405,0.0120,126.15,0.50,3.7692,,,true,
18,Hirose-2006,laser,115.6,1.8,1970,10% (table footnote); text describes about 200 K,,,,,,,,,4.3775,0.0085,4.5623,0.0119,6.3425,0.0111,126.67,0.47,3.7743,,,false,No post-perovskite lattice parameters or volume printed
19,Hirose-2006,laser,114.5,1.6,1780,10% (table footnote); text describes about 200 K,2.4838,0.0047,8.1568,0.0196,6.1516,0.0041,124.63,0.39,4.3729,0.0099,4.5615,0.0138,6.3445,0.0130,126.55,0.54,3.7727,,,true,
20,Hirose-2006,laser,116.3,1.8,1960,10% (table footnote); text describes about 200 K,2.4807,0.0022,8.1614,0.0108,6.1521,0.0024,124.56,0.20,4.3731,0.0105,4.5553,0.0145,6.3469,0.0138,126.43,0.57,3.7723,,,true,
21,Hirose-2006,laser,115.3,1.6,1800,10% (table footnote); text describes about 200 K,2.4805,0.0022,8.1546,0.0091,6.1533,0.0019,124.47,0.18,4.3707,0.0119,4.5530,0.0165,6.3470,0.0157,126.30,0.65,3.7713,,,true,
22,Hirose-2006,laser,117.9,2.1,2330,10% (table footnote); text describes about 200 K,2.4854,0.0019,8.1595,0.0094,6.1687,0.0021,125.10,0.18,4.3774,0.0123,4.5609,0.0172,6.3605,0.0163,126.99,0.68,3.7767,,,true,
