run,pressure_keane_gpa,pressure_keane_uncertainty_gpa,pressure_ap2_gpa,pressure_ap2_uncertainty_gpa,pressure_bm3_gpa,pressure_bm3_uncertainty_gpa,pressure_vinet_gpa,pressure_vinet_uncertainty_gpa,temperature_k,temperature_uncertainty_k,mgsio3_lattice_a_angstrom,mgsio3_lattice_a_uncertainty_angstrom,mgsio3_lattice_b_angstrom,mgsio3_lattice_b_uncertainty_angstrom,mgsio3_lattice_c_angstrom,mgsio3_lattice_c_uncertainty_angstrom,mgsio3_unit_cell_volume_a3,mgsio3_unit_cell_volume_uncertainty_a3,mgo_lattice_a_angstrom,mgo_lattice_a_uncertainty_angstrom,mgo_unit_cell_volume_a3,mgo_unit_cell_volume_uncertainty_a3
PP02_004,118.0,1.5,118.7,1.5,119.5,1.6,117.9,1.5,300,,2.4691,0.0005,8.0997,0.0016,6.1306,0.0011,122.61,0.09,3.745,0.002,52.54,0.14
PP02_006,118.4,0.4,119.1,0.4,119.9,0.5,118.3,0.5,300,,2.4679,0.0003,8.0898,0.0009,6.1224,0.0005,122.23,0.04,3.745,0.001,52.51,0.03
PP02_011,126.6,0.3,127.4,0.3,128.4,0.5,126.4,0.5,300,,2.4573,0.0003,8.0516,0.0007,6.1004,0.0007,120.70,0.05,3.7273,0.0004,51.78,0.03
PP02_016,135.0,1.7,136.0,1.7,137.2,1.9,134.7,1.8,300,,2.4498,0.0003,8.0178,0.0011,6.0838,0.0009,119.50,0.06,3.710,0.002,51.08,0.14
PP02_023,139.5,0.6,140.5,0.6,141.9,0.8,139.2,0.7,300,,2.4451,0.0005,7.9901,0.0015,6.0693,0.0014,118.57,0.09,3.702,0.001,50.72,0.04
PP02_021,139.9,1.2,140.9,1.3,142.3,1.4,139.6,1.3,300,,2.4448,0.0004,7.9942,0.0010,6.0723,0.0009,118.68,0.06,3.701,0.002,50.69,0.10
PP02_028,147.6,0.6,148.7,0.6,150.3,0.8,147.2,0.8,300,,2.4367,0.0006,7.9586,0.0016,6.0534,0.0013,117.39,0.09,3.686,0.001,50.10,0.05
PP02_029,152.6,0.7,153.9,0.7,155.6,0.9,152.2,0.9,300,,2.4307,0.0006,7.9401,0.0016,6.0394,0.0011,116.56,0.09,3.677,0.001,49.72,0.05
PP02_033,158.2,2.1,159.6,2.2,161.5,2.3,157.7,2.2,300,,2.4280,0.0004,7.9268,0.0013,6.0336,0.0010,116.12,0.07,3.667,0.002,49.32,0.15
PP01_008b,169.3,3.0,170.8,3.1,173.2,3.3,168.6,3.0,300,,2.4180,0.0006,7.8691,0.0023,6.0095,0.0012,114.34,0.11,3.649,0.003,48.57,0.20
PP01_009,174.9,3.3,176.6,3.3,179.2,3.5,174.1,3.3,300,,2.4120,0.0004,7.8513,0.0010,5.9973,0.0008,113.57,0.06,3.639,0.003,48.20,0.21
PP01_013,187.3,1.6,189.1,1.6,192.3,1.8,186.3,1.7,300,,2.3964,0.0006,7.7952,0.0019,5.9663,0.0015,111.45,0.11,3.620,0.001,47.43,0.09
PP01_017,202.6,2.8,204.7,2.8,208.5,3.1,201.2,2.8,300,,2.3859,0.0007,7.7532,0.0022,5.9384,0.0017,109.85,0.12,3.597,0.002,46.55,0.16
