volume_ratio,experimental_fit_volume_a3,theoretical_fit_volume_a3,temperature_k,experimental_fit_pressure_gpa,theoretical_fit_pressure_gpa
1,164.26,164.22,300,0,0
1,164.26,164.22,1000,4.63429468403098,4.5
1,164.26,164.22,1500,8.25002913195867,8.2
1,164.26,164.22,2000,11.9089767640993,11.9
1,164.26,164.22,2500,15.585427692063,15.6
1,164.26,164.22,3000,19.2706719320828,19.4
1,164.26,164.22,3500,22.9609519352555,23.1
1,164.26,164.22,4000,26.6543828206866,26.9
1,164.26,164.22,4500,30.3499155720346,30.6
1,164.26,164.22,5000,34.0469201270244,34.4
0.95,156.047,156.01,300,11.8881164912703,12
0.95,156.047,156.01,1000,16.4567254334667,16.4
0.95,156.047,156.01,1500,20.0669853303495,20.1
0.95,156.047,156.01,2000,23.7272034301132,23.8
0.95,156.047,156.01,2500,27.4077007710343,27.6
0.95,156.047,156.01,3000,31.0983951614744,31.3
0.95,156.047,156.01,3500,34.7949318652811,35.1
0.95,156.047,156.01,4000,38.4951250568582,38.9
0.95,156.047,156.01,4500,42.1977577779409,42.7
0.95,156.047,156.01,5000,45.9020989237444,46.4
0.9,147.834,147.8,300,27.8918944301382,28
0.9,147.834,147.8,1000,32.4069188331737,32.4
0.9,147.834,147.8,1500,36.0269238091777,36.1
0.9,147.834,147.8,2000,39.7049608727955,39.8
0.9,147.834,147.8,2500,43.4066137612426,43.6
0.9,147.834,147.8,3000,47.1201538848274,47.4
0.9,147.834,147.8,3500,50.840508332998,51.2
0.9,147.834,147.8,4000,54.5651289169013,55
0.9,147.834,147.8,4500,58.2925963116577,58.8
0.9,147.834,147.8,5000,62.0220576000084,62.6
0.89,146.1914,146.16,300,31.6827455354867,31.8
0.89,146.1914,146.16,1000,36.1885290006241,36.2
0.89,146.1914,146.16,1500,39.8124523973919,39.8
0.89,146.1914,146.16,2000,43.4962132011924,43.6
0.89,146.1914,146.16,2500,47.2043378591891,47.4
