point_id,experiment,path,pressure_gpa,pressure_sigma_gpa,volume_a3_conventional_cell,volume_sigma_a3
ambient_001,ambient,ambient,0.0,,194.94,0.38
I_c_001,I,compression,4.6,0.19,184.70,0.41
I_c_002,I,compression,5.1,0.28,183.72,0.39
I_c_003,I,compression,6.0,0.39,182.68,0.56
I_c_004,I,compression,6.9,0.46,181.07,0.57
I_c_005,I,compression,7.6,0.36,180.21,0.47
I_c_006,I,compression,8.1,0.37,179.39,0.98
I_c_007,I,compression,8.9,0.35,178.60,0.46
I_c_008,I,compression,9.2,0.40,178.17,0.44
I_c_009,I,compression,9.9,0.39,177.23,0.51
I_c_010,I,compression,10.5,0.46,176.52,0.52
I_c_011,I,compression,11.2,0.60,175.76,0.51
I_c_012,I,compression,11.8,0.47,174.84,0.45
I_c_013,I,compression,12.6,0.51,173.92,0.40
I_c_014,I,compression,13.2,0.55,173.14,0.38
I_c_015,I,compression,14.0,0.63,172.35,0.33
I_c_016,I,compression,14.7,0.59,171.55,0.30
I_c_017,I,compression,15.4,0.59,170.78,0.89
I_c_018,I,compression,16.1,0.61,169.94,0.33
I_c_019,I,compression,17.0,0.65,169.12,0.33
I_c_020,I,compression,18.0,0.84,168.43,0.34
I_c_021,I,compression,18.6,0.67,167.41,0.91
I_c_022,I,compression,19.3,0.85,166.57,0.78
I_c_023,I,compression,20.2,0.62,165.70,0.80
I_c_024,I,compression,20.9,0.68,165.02,0.88
I_c_025,I,compression,21.5,0.75,164.36,0.58
I_c_026,I,compression,22.3,0.79,163.20,0.41
I_c_027,I,compression,23.1,0.81,162.30,0.42
I_c_028,I,compression,23.9,0.83,161.56,0.40
I_c_029,I,compression,25.1,0.82,160.91,0.94
I_c_030,I,compression,25.6,0.83,160.05,0.48
I_c_031,I,compression,26.4,0.88,159.40,0.50
I_c_032,I,compression,27.1,1.04,158.90,0.94
I_c_033,I,compression,28.0,0.98,158.28,0.89
I_c_034,I,compression,30.4,1.10,156.49,0.87
I_c_035,I,compression,32.6,1.11,155.17,0.72
I_c_036,I,compression,35.0,1.14,153.32,0.80
I_c_037,I,compression,37.8,1.22,151.34,1.37
I_c_038,I,compression,41.0,1.12,149.39,1.19
I_d_001,I,decompression,36.1,2.29,152.54,0.96
I_d_002,I,decompression,25.2,1.76,161.03,1.63
I_d_003,I,decompression,15.5,1.12,170.57,0.91
I_d_004,I,decompression,8.0,0.80,178.85,1.56
I_d_005,I,decompression,4.1,0.61,187.07,0.74
I_d_006,I,decompression,3.4,0.42,188.47,1.21
I_d_007,I,decompression,2.5,0.37,189.92,0.97
I_d_008,I,decompression,1.7,0.39,191.95,0.58
I_d_009,I,decompression,0.8,0.31,194.12,1.10
I_d_010,I,decompression,0.4,0.15,194.89,0.79
I_d_011,I,decompression,0.1,0.13,194.81,0.79
I_d_012,I,decompression,0.0,,195.03,0.59
II_c_001,II,compression,6.2,0.22,182.52,0.55
II_c_002,II,compression,6.7,0.24,181.43,0.30
II_c_003,II,compression,7.4,0.26,180.09,0.88
II_c_004,II,compression,8.1,0.27,178.88,1.82
II_c_005,II,compression,9.3,0.30,178.10,0.76
II_c_006,II,compression,10.4,0.59,176.84,0.71
II_c_007,II,compression,10.4,0.59,176.73,0.55
II_c_008,II,compression,11.9,0.36,175.03,1.12
II_c_009,II,compression,13.1,0.71,172.98,0.86
II_c_010,II,compression,14.4,0.92,172.07,0.88
II_c_011,II,compression,14.4,0.92,171.84,1.00
II_c_012,II,compression,15.9,0.85,170.39,1.09
II_c_013,II,compression,18.2,0.51,168.24,0.34
II_c_014,II,compression,19.1,0.89,167.00,0.56
II_c_015,II,compression,20.5,1.16,165.22,0.56
II_c_016,II,compression,22.2,0.85,164.15,0.57
II_c_017,II,compression,23.8,0.90,162.68,0.57
II_c_018,II,compression,25.2,0.96,161.28,1.04
II_c_019,II,compression,26.3,1.00,159.73,0.78
II_d_001,II,decompression,18.2,1.24,167.41,0.40
II_d_002,II,decompression,16.7,1.18,168.88,0.34
III_c_001,III,compression,1.0,0.12,192.12,0.71
III_c_002,III,compression,1.0,0.12,192.36,1.09
III_c_003,III,compression,1.0,0.12,192.16,0.67
III_c_004,III,compression,1.7,0.32,190.72,0.63
III_c_005,III,compression,1.7,0.32,190.72,0.93
III_c_006,III,compression,1.7,0.32,190.77,0.58
III_c_007,III,compression,1.7,0.32,190.79,0.42
III_c_008,III,compression,1.7,0.32,190.73,0.30
III_c_009,III,compression,1.9,0.21,190.61,0.26
III_c_010,III,compression,2.1,0.19,190.65,0.40
III_c_011,III,compression,2.1,0.19,190.34,0.25
III_c_012,III,compression,2.9,0.21,188.45,0.31
III_c_013,III,compression,2.9,0.21,188.36,0.17
III_c_014,III,compression,3.2,0.26,187.60,0.30
III_c_015,III,compression,3.2,0.26,187.48,0.27
III_c_016,III,compression,4.5,0.26,185.28,0.26
III_c_017,III,compression,4.5,0.26,185.17,0.29
III_c_018,III,compression,4.5,0.26,185.11,0.25
III_c_019,III,compression,5.2,0.31,183.82,0.20
III_c_020,III,compression,5.2,0.31,183.74,0.22
III_c_021,III,compression,5.9,0.41,182.46,0.27
III_c_022,III,compression,5.9,0.41,182.50,0.19
III_c_023,III,compression,5.9,0.41,182.49,0.20
