pressure_gpa,volume_ratio,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty,pressure_medium
0.000,1.00003,0.55,0.0010,21:4:1 methanol:ethanol:water
1.485,0.99615,0.55,0.0010,21:4:1 methanol:ethanol:water
3.265,0.99014,0.55,0.0010,21:4:1 methanol:ethanol:water
5.081,0.98365,0.55,0.0010,21:4:1 methanol:ethanol:water
6.082,0.98104,0.55,0.0010,21:4:1 methanol:ethanol:water
9.085,0.97194,0.55,0.0010,21:4:1 methanol:ethanol:water
11.162,0.96636,0.55,0.0010,21:4:1 methanol:ethanol:water
13.683,0.96284,0.55,0.0010,21:4:1 methanol:ethanol:water
14.869,0.95878,0.55,0.0010,21:4:1 methanol:ethanol:water
19.710,0.94815,0.50,0.0008,NaCl and laser heating
24.393,0.93957,0.50,0.0008,NaCl and laser heating
32.999,0.92216,0.50,0.0008,NaCl and laser heating
37.486,0.91417,0.50,0.0008,NaCl and laser heating
38.191,0.91122,0.50,0.0008,NaCl and laser heating
43.101,0.90221,0.50,0.0008,NaCl and laser heating
45.499,0.89621,0.50,0.0008,NaCl and laser heating
