pressure_gpa,a_angstrom,a_uncertainty_angstrom,b_angstrom,b_uncertainty_angstrom,c_angstrom,c_uncertainty_angstrom,volume_a3_conventional_cell,volume_uncertainty_a3,used_in_published_fit,source_note_a
0.0001,10.189,0.002,8.686,0.007,2.7571,0.0004,244.0,0.2,1,0
1.7,10.172,0.003,8.666,0.001,2.7511,0.0002,242.5,0.7,1,1
10.0,10.005,0.001,8.549,0.001,2.7300,0.0002,233.5,0.8,1,0
15.2,9.936,0.003,8.475,0.001,2.7156,0.0002,228.7,0.8,1,0
24.0,9.838,0.003,8.361,0.001,2.6888,0.0002,221.2,0.8,1,0
29.1,9.762,0.004,8.296,0.002,2.6715,0.0004,216.34,0.10,1,0
33.3,9.720,0.003,8.256,0.001,2.6606,0.0003,213.5,0.8,1,0
37.8,9.684,0.003,8.210,0.001,2.6487,0.0003,210.7,0.9,1,0
40.8,9.651,0.003,8.176,0.001,2.6393,0.0002,208.3,0.8,1,0
44.0,9.626,0.004,8.161,0.001,2.6327,0.0003,206.6,0.9,1,0
