pressure_gpa,a_angstrom,a_uncertainty_angstrom,b_angstrom,b_uncertainty_angstrom,c_angstrom,c_uncertainty_angstrom,volume_a3_conventional_cell,volume_uncertainty_a3,used_in_published_fit,source_note_a
0.0001,10.166,0.001,8.675,0.009,2.7380,0.0006,241.5,0.3,1,0
1.7,10.118,0.001,8.680,0.007,2.7363,0.0003,240.3,0.2,1,1
3.7,10.080,0.001,8.639,0.007,2.7307,0.0003,237.8,0.2,1,0
5.7,10.040,0.001,8.609,0.007,2.7253,0.0003,235.6,0.2,1,0
8.0,10.005,0.001,8.578,0.007,2.7199,0.0003,233.4,0.6,1,0
9.4,9.978,0.002,8.565,0.008,2.7169,0.0004,232.2,0.2,1,0
11.4,9.953,0.001,8.540,0.007,2.7110,0.0003,230.4,0.2,1,0
13.7,9.925,0.003,8.512,0.002,2.7056,0.0009,228.6,0.5,1,0
15.7,9.894,0.002,8.479,0.008,2.701,0.004,226.5,0.2,1,0
17.3,9.872,0.001,8.450,0.007,2.6963,0.0003,224.9,0.2,1,0
19.1,9.853,0.001,8.420,0.007,2.6908,0.0003,223.2,0.2,1,0
20.7,9.826,0.001,8.405,0.008,2.6867,0.0003,221.9,0.2,1,0
22.1,9.809,0.001,8.383,0.007,2.6823,0.0003,220.6,0.2,1,0
24.2,9.784,0.001,8.359,0.007,2.6764,0.0003,218.9,0.2,1,0
26.2,9.760,0.001,8.337,0.007,2.6704,0.0003,217.3,0.2,1,0
28.1,9.731,0.002,8.322,0.008,2.6657,0.0004,215.9,0.2,1,0
30.2,9.714,0.001,8.299,0.007,2.6606,0.0003,214.5,0.2,1,0
32.6,9.691,0.001,8.278,0.007,2.6559,0.0003,213.1,0.2,1,0
35.0,9.671,0.002,8.248,0.007,2.6510,0.0003,211.4,0.2,1,0
36.9,9.656,0.001,8.224,0.007,2.6467,0.0003,210.2,0.2,1,0
38.7,9.689,0.002,8.212,0.009,2.6412,0.0004,208.8,0.2,1,0
41.0,9.608,0.001,8.186,0.007,2.6359,0.0003,207.3,0.2,1,0
