pressure_gpa,volume_a3_conventional_cell,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3
3.947,238.783,0.4,0.4
4.934,237.751,0.4,0.4
5.503,237.338,0.4,0.4
6.641,236.182,0.4,0.4
7.324,235.480,0.4,0.4
8.501,234.407,0.4,0.4
9.715,233.334,0.4,0.4
12.562,230.695,0.4,0.4
13.169,230.323,0.4,0.4
14.573,229.084,0.4,0.4
16.546,227.433,0.4,0.4
18.216,226.112,0.4,0.4
23.188,222.355,0.4,0.4
25.199,220.827,0.4,0.4
29.222,218.435,0.4,0.4
34.991,214.722,0.4,0.4
38.786,212.451,0.4,0.4
40.531,211.336,0.4,0.4
41.176,211.088,0.4,0.4
