run,pt_a_angstrom,pt_a_error_angstrom,pt_volume_a3,pt_volume_error_a3,nacl_a_angstrom,nacl_a_error_angstrom,volume_a3,volume_error_a3,pressure_matsui_gpa,pressure_fei_gpa,pressure_do_gpa,pressure_holmes_gpa
PNW01_007,3.747,0.001,52.59,0.06,2.892,0.002,24.18,0.08,53.7,54.0,54.7,54.5
PNW01_009q,3.645,0.001,48.41,0.08,2.728,0.004,20.31,0.21,105.4,105.6,107.8,109.6
PNW01_011q,3.605,0.001,46.87,0.07,2.683,0.005,19.32,0.21,130.8,130.7,133.9,137.2
PNW01_013q,3.585,0.002,46.07,0.10,2.649,0.007,18.58,0.34,145.5,145.4,149.1,153.4
PNW01_015q,3.575,0.001,45.68,0.06,2.636,0.005,18.31,0.23,153.3,153.0,157.1,162.0
PNW01_017q,3.558,0.002,45.06,0.14,2.614,0.006,17.85,0.25,166.3,165.9,170.6,176.4
PNW01_019q,3.548,0.002,44.66,0.13,2.602,0.005,17.61,0.25,174.9,174.4,179.4,185.9
PNW01_021q,3.538,0.001,44.30,0.08,2.593,0.006,17.44,0.26,183.2,182.7,188.1,195.3
PNW01_023q,3.533,0.002,44.10,0.09,2.581,0.005,17.20,0.21,187.8,187.1,192.8,200.4
PNW01_025q,3.521,0.002,43.66,0.10,2.569,0.007,16.96,0.31,198.6,197.8,204.0,212.5
PNW01_027q,3.513,0.002,43.34,0.12,2.558,0.007,16.74,0.32,206.8,205.9,212.5,221.7
PNW01_029q,3.502,0.002,42.95,0.14,2.547,0.010,16.53,0.43,217.0,216.0,223.1,233.2
PNW01_030ip,3.506,0.003,43.09,0.19,2.551,0.009,16.59,0.40,213.1,212.1,219.0,228.8
PNW01_032ip,3.498,0.004,42.80,0.26,2.544,0.007,16.46,0.30,221.1,220.0,227.3,237.9
PNW01_034ip,3.488,0.003,42.42,0.19,2.531,0.010,16.22,0.42,231.6,230.4,238.2,249.8
PNW01_036ip,3.481,0.004,42.20,0.22,2.518,0.009,15.97,0.38,237.9,236.6,244.8,257.0
PNW01_038-3,3.473,0.002,41.89,0.12,2.512,0.006,15.86,0.28,247.1,245.6,254.3,267.5
PNW01_040ip,3.472,0.003,41.85,0.20,2.512,0.006,15.85,0.26,248.3,246.8,255.6,268.8
PNW01_042bip,3.468,0.003,41.71,0.20,2.502,0.006,15.67,0.27,252.5,250.9,259.9,273.5
PNW01_044ip,3.463,0.002,41.51,0.12,2.503,0.009,15.69,0.38,258.6,256.9,266.2,280.5
PNW01_046ip,3.457,0.002,41.31,0.11,2.496,0.009,15.54,0.38,265.1,263.2,272.9,287.9
PNW01_048ip,3.451,0.002,41.09,0.11,2.487,0.005,15.38,0.23,272.1,270.2,280.3,296.0
PNW01_050ip,3.448,0.004,40.98,0.21,2.490,0.006,15.43,0.26,275.7,273.7,284.0,300.1
PNW01_052cip,3.446,0.002,40.91,0.12,2.481,0.007,15.27,0.29,278.1,276.0,286.5,302.8
PNW01_054ip,3.436,0.002,40.57,0.15,2.477,0.007,15.19,0.29,289.6,287.3,298.4,316.1
PNW01_056ip,3.427,0.002,40.25,0.10,2.461,0.000,14.90,0.02,300.9,298.4,310.2,329.1
PNW01_058ip,3.424,0.002,40.16,0.13,2.461,0.002,14.90,0.10,304.4,301.8,313.8,333.1
