source_row,annealed,excluded_by_sakai,pt_d111_angstrom,pt_d111_error_angstrom,pt_d200_angstrom,pt_d200_error_angstrom,pressure_holmes_gpa,pressure_holmes_error_gpa,mgo_d111_angstrom,mgo_d111_error_angstrom,mgo_d200_angstrom,mgo_d200_error_angstrom,pressure_mgo_gpa,pressure_mgo_error_gpa,nacl_d100_angstrom,nacl_d100_error_angstrom,nacl_d110_angstrom,nacl_d110_error_angstrom,volume_a3,volume_error_a3
8,0,1,2.2062,0.0004,1.9143,0.0007,25.2,1.7,2.306,0.006,2.0088,0.0007,30.3,5.0,3.000,0.003,2.1193,0.0002,26.92,0.09
9,1,0,2.19064,0.00008,1.89873,0.00007,34.9,0.9,2.310,0.002,1.9980,0.0002,34.9,1.2,2.989,0.002,2.1129,0.0002,26.68,0.02
11,0,1,2.2036,0.0003,1.9105,0.0002,27.1,1.0,2.3199,0.0003,2.0103,0.0003,29.7,0.5,3.008,0.002,2.1251,0.0004,27.15,0.07
12,1,0,2.1986,0.0003,1.9045,0.0002,30.5,0.3,2.320,0.006,2.0064,0.0001,31.3,1.1,3.0111,0.0009,2.1296,0.0003,27.32,0.02
13,1,0,2.1948,0.0003,1.9019,0.0003,32.5,0.6,2.313,0.002,2.0015,0.0002,33.4,0.9,3.001,0.002,2.1176,0.0004,26.86,0.02
14,1,0,2.1902,0.0002,1.8975,0.0002,35.5,0.4,2.307,0.002,1.9953,0.0002,36.1,1.0,2.9851,0.0009,2.1070,0.0002,26.46,0.02
16,1,0,2.1867,0.0003,1.8946,0.0003,37.7,0.5,2.304,0.002,1.9899,0.0002,38.5,2.4,2.9670,0.0005,2.0981,0.0005,26.12,0.01
17,1,0,2.1807,0.0003,1.8894,0.0002,41.6,0.5,2.300,0.002,1.9813,0.0002,42.5,3.3,2.9485,0.0007,2.0820,0.0003,25.53,0.02
18,0,0,2.1779,0.0004,1.8879,0.0004,43.1,1.0,2.281,0.005,1.9782,0.0002,44.0,1.3,2.9369,0.0008,2.0761,0.0003,25.31,0.03
19,1,0,2.1737,0.0004,1.8844,0.0003,46.0,1.2,2.278,0.011,1.9721,0.0009,47.0,0.3,2.923,0.002,2.0653,0.0003,24.91,0.07
20,0,0,2.1721,0.0003,1.8833,0.0001,47.0,1.4,2.277,0.004,1.9708,0.0002,47.7,0.4,2.921,0.002,2.0620,0.0004,24.80,0.19
21,1,0,2.1689,0.0003,1.8796,0.0002,49.6,0.8,2.2714,0.0005,1.9657,0.0002,50.3,0.8,2.910,0.003,2.0538,0.0004,24.50,0.15
22,0,0,2.1684,0.0002,1.8795,0.0003,49.8,1.0,2.272,0.004,1.9648,0.0002,50.8,1.4,2.908,0.002,2.0532,0.0004,24.48,0.10
23,1,0,2.1661,0.0003,1.8769,0.0003,51.8,0.7,2.265,0.006,1.9624,0.0004,52.1,0.5,2.898,0.002,2.0476,0.0004,24.28,0.06
24,0,0,2.1651,0.0002,1.8761,0.0002,52.5,0.7,2.265,0.002,1.9604,0.0002,53.2,0.6,2.899,0.002,2.0444,0.0002,24.17,0.19
25,1,0,2.1616,0.0003,1.8730,0.0004,55.1,0.7,2.259,0.003,1.9560,0.0003,55.6,0.1,2.888,0.002,2.0366,0.0003,23.89,0.20
26,0,0,2.1611,0.0002,1.8729,0.0004,55.4,0.9,2.258,0.003,1.9549,0.0004,56.2,0.5,2.881,0.002,2.0364,0.0004,23.89,0.04
27,1,0,2.1586,0.0004,1.8702,0.0003,57.6,0.6,2.258,0.003,1.9523,0.0002,57.6,1.7,2.878,0.002,2.0320,0.0003,23.73,0.11
28,0,0,2.1573,0.0004,1.8696,0.0003,58.3,0.9,2.255,0.004,1.9508,0.0002,58.5,1.2,2.8762,0.0006,2.0300,0.0003,23.66,0.14
29,1,0,2.1559,0.0002,1.8683,0.0003,59.5,0.9,2.247,0.002,1.9480,0.0002,60.1,1.4,2.867,0.002,2.0262,0.0002,23.53,0.06
30,0,0,2.1554,0.0002,1.8680,0.0003,59.9,0.9,2.252,0.003,1.9477,0.0002,60.3,1.3,2.867,0.003,2.0254,0.0002,23.50,0.07
31,1,0,2.1537,0.0003,1.8665,0.0002,61.2,1.0,2.243,0.002,1.9468,0.0003,60.8,2.8,2.866,0.003,2.0218,0.0002,23.38,0.18
32,0,0,2.1522,0.0003,1.8652,0.0004,62.4,1.0,2.249,0.003,1.9437,0.0002,62.6,2.4,2.848,0.005,2.0184,0.0002,23.26,0.16
33,1,0,2.1508,0.0002,1.8637,0.0002,63.7,0.8,2.243,0.002,1.9418,0.0004,63.7,0.7,2.856,0.003,2.0161,0.0004,23.18,0.13
34,0,0,2.1500,0.0002,1.8633,0.0002,64.2,1.0,2.243,0.002,1.9409,0.0002,64.3,1.2,2.853,0.002,2.0146,0.0004,23.13,0.09
35,1,0,2.1486,0.0003,1.8613,0.0002,66.0,0.8,2.2408,0.0007,1.9391,0.0002,65.4,0.9,2.847,0.002,2.0112,0.0002,23.01,0.06
36,0,0,2.1469,0.0003,1.8607,0.0004,66.8,1.0,2.238,0.002,1.9371,0.0002,66.6,0.8,2.845,0.002,2.0091,0.0004,22.94,0.09
37,1,0,2.1450,0.0002,1.8588,0.0002,68.5,0.9,2.236,0.002,1.9352,0.0002,67.9,0.7,2.838,0.004,2.0059,0.0004,22.83,0.03
38,0,0,2.1447,0.0002,1.8587,0.0002,68.7,1.0,2.2376,0.0002,1.9342,0.0001,68.5,2.4,2.838,0.001,2.0047,0.0003,22.79,0.08
