pressure_scale,pressure_gpa,volume_a3_conventional_cell,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3
pt_scale,37.8828,33.580224,0.3,0.05
pt_scale,41.4803,32.440299,0.3,0.05
pt_scale,47.6057,31.276119,0.3,0.05
pt_scale,48.5780,31.591418,0.3,0.05
pt_scale,54.1201,30.524254,0.3,0.05
pt_scale,59.5649,29.796642,0.3,0.05
pt_scale,61.8012,29.917910,0.3,0.05
au_scale,34.3826,34.404851,0.3,0.05
au_scale,43.9110,32.027985,0.3,0.05
au_scale,70.5518,28.923507,0.3,0.05
au_scale,76.1911,28.195896,0.3,0.05
au_scale,85.7195,27.322761,0.3,0.05
au_scale,115.2771,25.091418,0.3,0.05
