pressure_gpa,pressure_uncertainty_gpa,pressure_gpa_dewaele_2004,pressure_uncertainty_gpa_dewaele_2004,lattice_a_angstrom,lattice_a_uncertainty_angstrom,molar_volume_cm3_mol,molar_volume_uncertainty_cm3_mol,volume_a3_conventional_cell,volume_uncertainty_a3_conventional_cell
10.0,0.2,10.047704716,0.201898689,3.567,0.010,6.83,0.05,45.384685263,0.381704670
20.0,0.2,20.188950958,0.203742287,3.400,0.010,5.92,0.05,39.304000000,0.346800000
27.1,0.2,27.444552461,0.205019767,3.315,0.010,5.49,0.04,36.429280875,0.329676750
31.0,0.2,31.449188052,0.205710857,3.258,0.010,5.21,0.05,34.582249512,0.318436920
35.6,0.3,36.189823239,0.309774932,3.230,0.010,5.07,0.05,33.698267000,0.312987000
40.3,0.3,41.052537567,0.310994572,3.190,0.010,4.89,0.04,32.461759000,0.305283000
51.5,0.3,52.716395442,0.313841223,3.139,0.010,4.66,0.04,30.929574619,0.295599630
56.9,0.4,58.377657930,0.420246537,3.111,0.010,4.53,0.04,30.109256631,0.290349630
64.4,0.4,66.280307998,0.422695270,3.077,0.010,4.39,0.04,29.132817533,0.284037870
74.3,0.4,76.781335768,0.425860129,3.035,0.010,4.21,0.04,27.956067875,0.276336750
78.3,0.4,81.046235892,0.427117931,3.021,0.010,4.15,0.04,27.570978261,0.273793230
82.3,0.4,85.323655530,0.428364074,3.014,0.010,4.12,0.04,27.379766744,0.272525880
83.5,0.4,86.609305417,0.428735680,3.003,0.010,4.08,0.04,27.081081027,0.270540270
87.5,0.4,90.902828337,0.429967034,2.993,0.010,4.04,0.04,26.811440657,0.268741470
91.1,0.4,94.777482559,0.431065753,2.986,0.010,4.01,0.04,26.623761256,0.267485880
94.5,0.4,98.445922666,0.432095325,2.973,0.010,3.96,0.04,26.277541317,0.265161870
97.7,0.4,101.906537555,0.433057265,2.963,0.010,3.92,0.04,26.013270347,0.263381070
101.0,0.5,105.483327761,0.542552758,2.956,0.010,3.89,0.04,25.829338816,0.262138080
103.7,0.5,108.415817356,0.543553523,2.946,0.010,3.85,0.04,25.568086536,0.260367480
107.7,0.5,112.770141729,0.545025463,2.936,0.010,3.81,0.04,25.308601856,0.258602880
110.4,0.5,115.715945233,0.546011928,2.927,0.010,3.76,0.04,25.076571983,0.257019870
