source_row,run_id,nickel_molar_volume_cm3_mol,nickel_molar_volume_uncertainty_cm3_mol,nio_molar_volume_cm3_mol,nio_molar_volume_uncertainty_cm3_mol,nacl_molar_volume_cm3_mol,nacl_molar_volume_uncertainty_cm3_mol,nacl_phase,delta_nio_ni_molar_volume_cm3_mol,delta_nio_ni_molar_volume_uncertainty_cm3_mol,sample_temperature_k,sample_temperature_uncertainty_k,nacl_temperature_k,nacl_temperature_uncertainty_k,reported_pressure_gpa,reported_pressure_uncertainty_gpa
8,NNOc_033,5.513664536376845,0.010186185305941002,9.267650238782934,0.018183862545769123,14.260172563630183,0.07588582579369815,B2,3.75398570240609,0.020842534111052656,2457.07,74.18641991631621,1966.25,557.75,65.9,2.8
9,NNOc_031,5.523912950536653,0.004945940755269942,9.273927521495143,0.02703636400260051,14.289418651829097,0.030393042709129618,B2,3.7500145709584896,0.02748503790129737,2361.04,66.18067391618192,1892.0,533.0,64.8,2.4
10,NNOa_081,5.685717694564004,0.003349676118537904,9.477044818925416,0.004752178409414051,14.913790473742878,0.022886989060735784,B2,3.7913271243614117,0.005814080299927429,2306.295,64.61974949657419,1850.125,518.375,55.14049910882562,2.2772836961425003
11,NNOc_030,5.518421449667241,0.016565725638682645,9.25212978052383,0.032704156232797904,14.429485677480692,0.08876497156746929,B2,3.7337083308565893,0.03666040235506645,2234.455,72.42687363817383,1794.125,500.375,62.4,2.6
12,NNOc_023,5.50483208386289,0.025260245387644396,9.293983670472393,0.008402497809035658,14.298288216645407,0.02944215640969933,B2,3.7891515866095027,0.02662108124165619,2167.525,75.58670931453491,1742.375,483.125,64.0,2.2
13,NNOb_059,6.1495647708734085,0.023066347781421803,10.321111162294814,0.0011545876850416706,18.548484041445803,0.005848398855545287,B1,4.171546391421406,0.023095226188456185,2139.395,74.27806557120346,1720.625,475.875,26.43179653796039,1.42457487988139
14,NNOa_034,5.726688358984985,0.02460622046505568,9.594288670179385,0.0016590156536739676,15.205095515515914,0.029182111506416607,B2,3.8676003111943995,0.02466208463439496,2089.015,128.1360028446338,1682.125,462.375,50.571449087433415,2.023292800739204
15,NNOb_058,6.146628965110824,0.020909170541156284,10.31316662177386,0.010529817001151869,18.55539885334105,0.006945316044386519,B1,4.166537656663036,0.023410904698385852,2045.79,79.38969769434823,1648.25,451.75,26.17247457229671,1.35160340590281
16,NNOb_062,6.134383103515735,0.00019805704233887936,10.30278755601728,0.010548147449254273,18.57811517987876,0.013590715967969524,B1,4.168404452501545,0.010550006692094062,2035.12,75.57813440407219,1640.0,449.0,26.010731874147005,1.343655912295805
17,NNOb_033,6.30857734688303,0.038384258394346935,10.55744005859856,0.007904619767729307,19.517135314403035,0.019768097079479074,B1,4.24886271171553,0.039189721945382186,2026.875,62.192367899928044,1633.625,446.875,20.936290474612047,1.333936648931245
18,NNOc_022,5.5284402054437844,0.000842136330715614,9.247013111486154,0.01224464323311215,14.233812858455778,0.07482311845357942,B2,3.71857290604237,0.012273568409623598,2025.42,58.307944570187,1632.5,446.5,64.8,2.3
19,NNOb_063,6.138647973655519,0.00869900550973385,10.296960764581199,0.01136120425821712,18.555336491490372,0.0064677331519305235,B1,4.15831279092568,0.014309076107677626,1977.89,54.812882609839086,1595.75,434.25,26.01519919585603,1.29863069452593
20,NNOa_019,5.9046093154482495,0.006277404286231376,9.904620160311064,0.008223494982389595,16.150305928224874,0.013919832530763778,B2,4.000010844862814,0.010345611354491472,1975.525,92.48594825701902,1594.375,433.125,39.63953331346406,1.814817170153952
21,NNOa_061,5.636135841731681,0.002752566421122891,9.429913217939426,0.0005833162660100448,14.903454355137953,0.10482258331912228,B2,3.7937773762077445,0.002813695038358845,1957.095,52.90296801692699,1580.125,428.375,54.5726744006249,2.349637961655682
22,NNOb_013,6.482487677869776,0.01767689507045403,10.747967962479507,0.0020223568533441066,20.558557883758876,0.058295853753879266,B1,4.265480284609731,0.01779220465749284,1956.55,54.18581456433039,1579.25,428.75,16.365495213731585,1.279547340861085
23,NNOb_037,6.353779080954404,0.007890819647869068,10.556245845384831,0.0045076769486916985,19.56005692348031,0.03330493094219238,B1,4.202466764430427,0.009087584177819923,1954.61,68.3076284173298,1577.75,428.25,20.566190322074586,1.279241212381685
24,NNOa_012,5.943134545986606,0.005633258864998089,9.91577070719648,0.008128175957039543,16.155959260628396,0.027552786023695222,B2,3.9726361612098735,0.009889431218663449,1951.275,77.00812051335885,1575.625,426.875,39.520455639012425,1.8027948853735336
25,NNOc_040,5.469164445996907,0.014929649272773324,9.221610725363135,0.0620119142078928,14.29194480878913,0.003359086827109904,B2,3.752446279366228,0.06378379050460295,1937.635,63.19413125441317,1564.625,423.875,63.3,1.9
26,NNOb_032,6.293903066917853,0.025770682726683116,10.541330240962896,0.008892705835856603,19.52202433466657,0.036687853668874115,B1,4.247427174045043,0.02726184706292737,1934.725,50.79715174101792,1562.375,423.125,20.701849076482972,1.264533249728375
27,NNOb_088,6.279023042404082,0.013531503831890532,10.393443942867542,0.06478900119743689,18.736977175440874,0.07136924965664831,B2,4.11442090046346,0.06618697962676606,1930.845,55.028892638322276,1559.375,422.125,23.776196265634876,2.1078604913232217
28,NNOb_114,6.181796907608835,0.007817873984628836,10.333336595094954,0.02137158613341133,17.7153473932202,0.17216093813773165,B2,4.151539687486119,0.02275662205814729,1928.905,51.673049310061046,1557.875,421.625,28.727207571553866,2.389023518784499
29,NNOc_017,5.498960552942514,0.0010804152015114479,9.255373197216985,0.023062100085105525,14.23034138707728,0.07481095226517046,B2,3.7564126442744703,0.023087393905399572,1879.92,49.2427294125742,1520.0,409.0,64.4,2.2
30,NNOc_042,5.450346904695025,0.02009514248488743,9.231613835520077,0.03088708794112979,14.242586189440209,0.031548367866345774,B2,3.781266930825052,0.03684870354532182,1877.495,49.43419894162339,1518.125,408.375,63.9,1.9
31,NNOb_030,6.306910651170113,0.011634348321078972,10.519442376097667,0.0073193966925432855,19.497053530186257,0.041315775924823786,B1,4.212531724927554,0.013745240223401215,1858.095,49.992939751528915,1503.125,403.375,20.645401908436735,1.206126844479235
32,NNOb_124,6.164271972399537,0.05213533962391727,10.25310109086971,0.02817090109409721,17.8692580353831,0.06323197813153475,B2,4.088829118470174,0.05925954189963508,1855.67,49.35371211975853,1501.25,402.75,27.921368815885415,2.0472535709413897
