run,ruby_pressure_mao_gpa,ruby_pressure_dewaele_gpa,atomic_volume_a3,pressure_from_helium_eos
4,0,0,10.9423,false
4,1.5,1.5,10.8504,false
4,2.6,2.6,10.7841,false
4,5.1,5.1,10.6565,false
4,7.8,7.8,10.5302,false
4,8.8,8.8,10.4821,false
4,11.4,11.5,10.3638,false
4,13,13.1,10.2789,false
4,15.2,15.3,10.1833,false
4,18.3,18.5,10.0737,false
5,6.7,6.7,10.5796,false
5,10.2,10.2,10.4114,false
5,13.6,13.7,10.2672,false
5,16.3,16.4,10.1525,false
5,20.3,20.5,9.9995,false
5,26.4,26.7,9.7994,false
5,30.7,31.1,9.6564,false
5,35.5,36.1,9.5116,false
5,40.6,41.3,9.3531,false
5,45.5,46.5,9.2232,false
5,50.2,51.4,9.1077,false
5,54.8,56.2,8.991,false
5,58.5,60.1,8.9092,false
5,63.4,65.2,8.8067,false
6,12.8,12.9,10.289,false
6,24.7,25,9.8373,false
6,37.5,38.1,9.4545,false
6,49,51,9.104,false
6,63.2,65,8.8219,true
6,72.7,75.1,8.6623,true
6,81.3,84.2,8.5267,true
6,89,92.5,8.3894,true
6,94.1,98.1,8.3124,true
6,101.2,106,8.1966,false
6,109.7,114.9,8.0621,true
6,110,115.3,8.0644,true
6,114,119.6,8.0134,true
6,121.8,128.2,7.9236,true
6,127.5,134.5,7.855,true
6,134.5,142.2,7.7731,true
6,140.4,148.8,7.7132,true
6,147.4,156.6,7.6279,true
