run,wavelength_a,pressure_gpa,pressure_sigma_gpa,volume_ratio,volume_ratio_sigma,a_a,a_sigma_a,d110_a,d110_sigma_a,d200_a,d200_sigma_a,d211_a,d211_sigma_a,differential_stress_gpa,differential_stress_sigma_gpa
1,0.6876,0.11,0.03,0.9965,0.0002,3.2968,0.00030000000000000003,2.332,0.00030000000000000003,1.6484,0.0004,1.3462,0.0001,0.15,0.03
1,0.6876,0.74,0.03,0.995,0.0001,3.2952,0.0001,2.3303,0.0001,1.6476,0.0002,1.3454,0.0001,0.05,0.01
1,0.6876,1.54,0.01,0.9912,0.0001,3.291,0.0001,2.3271,0.0004,1.6455,0.0001,1.3436,0.0001,0.01,0.01
1,0.6876,2.55,0.13,0.9854,0.0001,3.2846,0.0001,2.323,0.0002,1.6423,0.0004,1.3411,0.0001,0.09,0.02
1,0.6876,3.14,0.05,0.9815,0.0001,3.2802,0.0001,2.3199,0.0007,1.6401,0.0005,1.3393,0.00030000000000000003,0.09,0.02
1,0.6876,3.77,0.03,0.9784,0.0001,3.2768,0.0001,2.3171,0.0002,1.6384,0.0007,1.3378,0.0007,0.02,0.0
1,0.6876,4.39,0.02,0.9757,0.0001,3.2738,0.0001,2.315,0.0009000000000000001,1.6369,0.0005,1.3364,0.0001,-0.01,0.05
1,0.6876,5.18,0.11,0.9718,0.0002,3.2694,0.0002,2.3124,0.0004,1.6347,0.0001,1.3349,0.0002,0.11,0.04
1,0.6876,5.75,0.15,0.9695,0.0001,3.2668,0.0001,2.3102,0.0001,1.6334,0.00030000000000000003,1.3336,0.0001,0.02,0.07
1,0.6876,6.16,0.07,0.9667,0.0001,3.2636,0.0001,2.3078,0.0002,1.6318,0.0002,1.3323,0.0001,0.0,0.03
1,0.6876,6.66,0.1,0.9636,0.0001,3.2602,0.0001,2.3054,0.00030000000000000003,1.6301,0.00030000000000000003,1.331,0.0001,0.02,0.0
1,0.6876,7.18,0.1,0.9606,0.0001,3.2568,0.0001,2.3029,0.0005,1.6284,0.00030000000000000003,1.3295,0.0001,-0.01,0.03
1,0.6876,7.86,0.04,0.9571,0.0001,3.2528,0.0001,2.3004,0.0002,1.6264,0.0004,1.328,0.00030000000000000003,0.05,0.05
1,0.6876,8.88,0.02,0.952,0.0002,3.247,0.0002,2.2968,0.0006000000000000001,1.6235,0.00030000000000000003,1.3257,0.0002,0.14,0.11
5,0.618,2.08,0.02,0.9865,0.0002,3.2854,0.0002,2.3244,0.0001,1.6427,0.0001,1.3415,0.0001,0.2,0.15
5,0.618,5.26,0.02,0.9699,0.0004,3.2652,0.0005,2.3096,0.0002,1.6326,0.0002,1.334,0.0001,0.26,0.21
5,0.618,8.39,0.02,0.9535,0.0005,3.2474,0.0006000000000000001,2.297,0.00030000000000000003,1.6237,0.0002,1.3265,0.0001,0.22,0.13
5,0.618,11.32,0.03,0.94,0.00030000000000000003,3.2324,0.0004,2.2871,0.0002,1.6162,0.0002,1.3201,0.0001,0.28,0.09
5,0.618,14.3,0.1,0.9264,0.00030000000000000003,3.2174,0.00030000000000000003,2.2765,0.0001,1.6087,0.0001,1.3137,0.0001,0.24,0.2
7,0.6198,2.3,0.1,0.982,0.0004,3.2808,0.0004,2.3234,0.0001,1.6404,0.0002,1.3415,0.00030000000000000003,0.8,0.11
7,0.6198,6.9,0.30000000000000004,0.9578,0.0014,3.2536,0.0016,2.3033,0.0009000000000000001,1.6268,0.0008,1.33,0.0002,0.65,0.12
7,0.6198,12.1,0.1,0.9361,0.0002,3.2288,0.0002,2.285,0.0016,1.6144,0.0001,1.3199,0.0001,0.56,0.29
7,0.6198,17.3,0.1,0.914,0.00030000000000000003,3.2032,0.0004,2.2676,0.0002,1.6016,0.0002,1.3098,0.0001,0.72,0.29
