pressure_gpa,pressure_uncertainty_gpa,a_a,a_uncertainty_a,c_a,c_uncertainty_a
2.8,0.27,3.4361,0.0008,5.29,0.009
3.98,0.42,3.416,0.0009,5.251,0.011
8.3,0.77,3.4046,0.0005,5.21,0.013
9.53,0.9,3.4044,0.001,5.198,0.013
11.6,0.62,3.3847,0.0001,5.216,0.033
12.99,0.79,3.3874,0.0014,5.161,0.019
13.2,1.9,3.3718,0.001,5.181,0.023
16.8,1.6,3.3548,0.0016,5.123,0.009
17.2,1.4,3.3656,0.001,5.109,0.014
18.1,1.7,3.351,0.0005,5.132,0.022
22.1,2.2,3.3341,0.0012,5.096,0.009
22.7,2.0,3.3463,0.0019,5.108,0.01
28.0,4.3,3.3129,0.0008,5.036,0.018
34.9,3.9,3.3009,0.0007,4.989,0.02
43.0,5.2,3.2785,0.0017,4.953,0.031
44.9,5.3,3.252,0.0005,4.871,0.029
