table,phase,pressure_gpa,volume_a3,volume_sigma_a3,lattice_a_angstrom,lattice_a_sigma_angstrom,lattice_b_angstrom,lattice_b_sigma_angstrom,lattice_c_angstrom,lattice_c_sigma_angstrom,rwp_background_subtracted_percent
S1,dry_stishovite,0,46.612,0.0178,4.18614,0.00076,,,2.666,0.00063,
S1,dry_stishovite,2.024,46.2953,0.0178,4.17003,0.00076,,,2.66231,0.00063,
S1,dry_stishovite,3.222,46.0886,0.0209,4.16294,0.00091,,,2.65946,0.00079,
S1,dry_stishovite,4.928,45.84,0.0197,4.15349,0.0009,,,2.65716,0.00063,
S1,dry_stishovite,9.785,45.1902,0.0172,4.1293,0.00075,,,2.65027,0.00062,
S1,dry_stishovite,13.533,44.6751,0.0245,4.1109,0.00117,,,2.64358,0.00064,
S1,dry_stishovite,19.043,43.9961,0.022,4.08803,0.00104,,,2.63261,0.00063,
S1,dry_stishovite,22.747,43.6581,0.0181,4.07555,0.0008,,,2.62841,0.00061,
S1,dry_stishovite,28.421,43.076,0.0209,4.05565,0.00099,,,2.61887,0.00061,
S1,dry_stishovite,32.261,42.6937,0.0206,4.04247,0.00098,,,2.61258,0.00061,
S1,dry_stishovite,36.302,42.3365,0.0216,4.03056,0.00097,,,2.60606,0.00076,
S1,dry_stishovite,38.334,42.1445,0.0214,4.02424,0.00097,,,2.6024,0.00076,
S1,dry_stishovite,42.225,41.8666,0.0201,4.01433,0.00097,,,2.59801,0.0006,
S1,dry_stishovite,44.857,41.6705,0.02,4.00762,0.00096,,,2.59451,0.0006,
S1,dry_stishovite,47.57,41.422,0.0198,3.99989,0.00096,,,2.58901,0.0006,
S1,dry_stishovite,50.741,41.2199,0.0197,3.99419,0.00096,,,2.58374,0.0006,
S1,dry_stishovite,53.472,40.9795,0.0206,3.9859,0.00095,,,2.57937,0.00075,
S1,dry_stishovite,56.82,40.7898,0.0205,3.98007,0.00095,,,2.57496,0.00074,
S1,dry_stishovite,60.3017,40.5647,0.0204,3.97293,0.00095,,,2.56996,0.00074,
S1,dry_stishovite,62.934,40.3876,0.0202,3.96767,0.00094,,,2.56553,0.00074,
S2,hydrous_stishovite,0,47.191,0.0211,4.20682,0.00075,,,2.66694,0.00062,5.4
S2,hydrous_stishovite,2.024,46.6534,0.027,4.186972,0.000755,,,2.66124,0.000608,6.9
S2,hydrous_stishovite,3.222,46.415,0.013,4.178474,0.00091,,,2.65841,0.00063,6.9
S2,hydrous_stishovite,4.928,46.1324,0.007,4.168431,0.00091,,,2.65498,0.00063,5.3
S2,hydrous_stishovite,9.785,45.4839,0.008,4.144907,0.00075,,,2.64745,0.00062,7
S2,hydrous_stishovite,13.533,45.0156,0.011,4.127609,0.00108,,,2.6422,0.00064,7.3
S2,hydrous_stishovite,22.747,43.9177,0.007,4.089454,0.00095,,,2.62609,0.00061,5.8
S3,hydrous_stishovite,28.421,43.41,0.013,4.07249,0.000554,,,2.61741,0.000778,5.60
S3,hydrous_stishovite,32.261,43.0764,0.018,4.061,0.000966,,,2.612,0.000966,6.80
S3,hydrous_stishovite,36.302,42.8295,0.039,4.053,0.008129,,,2.60729,0.0016085,5.00
S3,hydrous_stishovite,38.334,42.6845,0,4.049,0.003931,,,2.6036,0.0043,5.20
S3,hydrous_cacl2,28.421,43.4293,0.034,4.049,0.002835,4.087,0.002366,2.6244,0.002005,
S3,hydrous_cacl2,32.261,42.9642,0.022,4.03,0.001625,4.07616,0.001729,2.61547,0.001269,
S3,hydrous_cacl2,36.302,42.6178,0.016,4.0115,0.002738,4.07015,0.002702,2.6102,0.000972,
S3,hydrous_cacl2,38.334,42.3613,0.007,4,0.001038,4.06875,0.000988,2.60309,0.000409,
S4,hydrous_cacl2,42.225,42.0141,0.007,3.97746,0.000974,4.06865,0.000873,2.5962,0.000384,6.3
S4,hydrous_cacl2,44.857,41.8087,0,3.97125,0.000017,4.06198,0.000012,2.5918,0.000008,7.3
S4,hydrous_cacl2,47.57,41.5235,0.006,3.9539,0.000851,4.05899,0.000788,2.58732,0.000319,6
S4,hydrous_cacl2,50.741,41.2724,0.007,3.94225,0.001005,4.05342,0.000914,2.58282,0.000383,6.3
S4,hydrous_cacl2,53.472,41.0104,0.007,3.92899,0.000938,4.04926,0.000855,2.57773,0.000377,5.7
S4,hydrous_cacl2,56.82,40.7462,0.008,3.91432,0.001028,4.0457,0.000939,2.57298,0.000462,7.9
S4,hydrous_cacl2,60.302,40.4827,0.008,3.90222,0.001008,4.0406,0.000923,2.56751,0.000453,7.3
S4,hydrous_cacl2,62.934,40.2441,0.009,3.89183,0.001107,4.03515,0.001038,2.56264,0.000497,7
