pressure_gpa,volume_ratio,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty
1.4603,0.987689,0.08,0.0008
2.5388,0.979326,0.08,0.0008
3.1188,0.975014,0.08,0.0008
3.4622,0.972913,0.08,0.0008
3.7201,0.970907,0.08,0.0008
3.8781,0.970037,0.08,0.0008
4.0940,0.968041,0.08,0.0008
4.2345,0.967175,0.08,0.0008
4.2850,0.967435,0.08,0.0008
4.7359,0.964413,0.08,0.0008
4.7650,0.963983,0.08,0.0008
5.0762,0.962179,0.08,0.0008
5.3853,0.959868,0.08,0.0008
5.8889,0.956800,0.08,0.0008
7.7863,0.945859,0.08,0.0008
