pressure_gpa,pressure_sigma_gpa,a_a,a_sigma_a,c_a,c_sigma_a,c_a_ratio,c_a_ratio_sigma,volume_ratio,volume_ratio_sigma,run
1.2,0.1,2.7313,0.0001,4.3155,0.0002,1.58,0.0001,0.9966,0.0001,1.0
2.1,0.1,2.7286,0.0001,4.3119,0.0001,1.5802,0.0001,0.9938,0.0001,1.0
3.0,0.1,2.7268,0.0001,4.3094,0.0002,1.5804,0.0001,0.9919,0.0001,1.0
4.0,0.1,2.7249,0.0001,4.3068,0.0001,1.5806,0.0001,0.9899,0.0001,1.0
5.1,0.1,2.7228,0.0001,4.3035,0.0001,1.5805,0.0001,0.9876,0.0001,1.0
6.2,0.1,2.7202,0.0001,4.3,0.0001,1.5808,0.0001,0.985,0.0001,1.0
7.3,0.1,2.7182,0.0001,4.2971,0.0001,1.5809,0.0001,0.9828,0.0001,1.0
8.1,0.1,2.7164,0.0001,4.2946,0.0001,1.581,0.0001,0.981,0.0001,1.0
9.1,0.1,2.7129,0.0001,4.2895,0.0002,1.5812,0.0001,0.9773,0.0001,1.0
10.0,0.1,2.7119,0.0001,4.2878,0.0001,1.5811,0.0001,0.9761,0.0001,1.0
11.0,0.1,2.71,0.0001,4.2847,0.0002,1.5811,0.0001,0.9741,0.0001,1.0
11.9,0.1,2.7077,0.0001,4.2817,0.0001,1.5813,0.0001,0.9717,0.0001,1.0
13.0,0.1,2.7056,0.0001,4.2785,0.0001,1.5813,0.0001,0.9695,0.0001,1.0
14.0,0.1,2.7036,0.0001,4.2759,0.0001,1.5815,0.0001,0.9675,0.0001,1.0
15.1,0.1,2.7013,0.0001,4.2726,0.0001,1.5817,0.0001,0.9651,0.0001,1.0
9.6,0.1,2.7122,0.0001,4.2881,0.0001,1.5811,0.0001,0.9764,0.0001,2.0
3.0,0.1,2.7278,0.0001,4.3098,0.0001,1.58,0.0001,0.9927,0.0001,3.0
8.4,0.1,2.7158,0.0001,4.2935,0.0001,1.5809,0.0001,0.9802,0.0001,3.0
13.6,0.1,2.7045,0.0001,4.2776,0.0001,1.5816,0.0001,0.9685,0.0001,3.0
18.1,0.1,2.6955,0.0001,4.2644,0.0001,1.582,0.0001,0.9591,0.0001,3.0
22.3,0.1,2.6877,0.0001,4.2532,0.0001,1.5825,0.0001,0.9511,0.0001,3.0
29.3,0.1,2.6752,0.0001,4.2357,0.0003,1.5833,0.0001,0.9384,0.0001,3.0
34.2,0.1,2.6669,0.0001,4.2233,0.0002,1.5836,0.0001,0.9299,0.0001,3.0
39.3,0.1,2.6579,0.0001,4.2112,0.0001,1.5844,0.0001,0.9209,0.0001,3.0
44.0,0.1,2.6506,0.0001,4.1996,0.0001,1.5844,0.0001,0.9134,0.0001,3.0
48.9,0.2,2.6431,0.0001,4.1891,0.0002,1.5849,0.0001,0.9059,0.0001,3.0
53.6,0.2,2.6358,0.0001,4.1789,0.0002,1.5854,0.0001,0.8987,0.0001,3.0
58.2,0.3,2.6295,0.0001,4.1693,0.0003,1.5856,0.0001,0.8923,0.0001,3.0
