pressure_gpa,atomic_volume_a3,volume_a3_conventional_cell
0.00000,14.72391303,58.89565212
5.96952,14.43641280,57.74565120
12.43090,14.05240395,56.20961580
12.49110,14.05108335,56.20433340
12.56000,14.05163359,56.20653436
12.57470,14.05185369,56.20741476
12.89830,14.04041159,56.16164636
14.41570,13.95019347,55.80077388
16.61360,13.77884604,55.11538416
18.32550,13.71572583,54.86290332
18.86560,13.66975487,54.67901948
19.00180,13.68899607,54.75598428
19.27120,13.67623865,54.70495460
19.47580,13.66165303,54.64661212
19.52230,13.62852285,54.51409140
20.15880,13.59307803,54.37231212
20.61070,13.56898058,54.27592232
20.67110,13.56629290,54.26517160
20.70810,13.56468047,54.25872188
20.74270,13.56177840,54.24711360
20.77700,13.54222713,54.16890852
20.83200,13.54330089,54.17320356
20.83270,13.55500853,54.22003412
20.87340,13.54802610,54.19210440
21.22540,13.53267319,54.13069276
21.30450,13.51615227,54.06460908
21.93260,13.48604162,53.94416648
22.80410,13.48315078,53.93260312
23.98750,13.42670185,53.70680740
25.12850,13.38851754,53.55407016
25.63420,13.34158004,53.36632016
26.06600,13.29008624,53.16034496
27.03840,13.21779516,52.87118064
27.65040,13.20364297,52.81457188
28.41370,13.16830669,52.67322676
28.89310,13.14850383,52.59401532
30.58390,13.09351843,52.37407372
30.87460,13.07924527,52.31698108
31.92660,13.05376834,52.21507336
32.54040,13.02738279,52.10953116
32.91590,12.99810723,51.99242892
33.25580,12.97242279,51.88969116
34.12220,12.93406373,51.73625492
35.77510,12.90648793,51.62595172
36.55890,12.85197241,51.40788964
36.71560,12.87905518,51.51622072
38.87090,12.80557407,51.22229628
38.96620,12.77745821,51.10983284
39.29920,12.79368182,51.17472728
39.32280,12.74948667,50.99794668
41.06570,12.71578942,50.86315768
41.82500,12.69757442,50.79029768
42.53950,12.63134491,50.52537964
43.56970,12.66674127,50.66696508
44.35880,12.55870784,50.23483136
44.65690,12.59161568,50.36646272
46.42180,12.54380580,50.17522320
47.38770,12.51220359,50.04881436
48.72260,12.46937081,49.87748324
49.05830,12.43647350,49.74589400
49.95820,12.40403918,49.61615672
51.94490,12.36721376,49.46885504
54.70070,12.30223976,49.20895904
55.06390,12.33933982,49.35735928
55.68750,12.27436301,49.09745204
57.02610,12.23628944,48.94515776
58.66130,12.20320251,48.81281004
60.95300,12.16337708,48.65350832
61.87120,12.13660883,48.54643532
65.23060,12.00781552,48.03126208
65.52690,12.04978397,48.19913588
67.18590,11.97949498,47.91797992
68.82470,11.94499636,47.77998544
70.37550,11.89568692,47.58274768
72.93390,11.84759373,47.39037492
73.05570,11.82570477,47.30281908
73.65880,11.81040834,47.24163336
73.79630,11.81599589,47.26398356
